dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name
2D-students-4df-16p,256,256,15.797735870509218,,0,0.0,seconds,0.0,0.009301082231104374,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,117.7330468021019,,0,0.0,seconds,0.0,0.01139795035123825,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,64.8785992470638,,0,0.0,seconds,0.0,0.009537522681057453,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,82.4611717135709,,0,0.0,seconds,0.0,0.008942915126681328,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,9.232891085296377,,0,0.0,seconds,0.0,0.008120572194457054,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,77.67070063145938,,0,0.0,seconds,0.0,0.008610778488218784,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,80.76620138837089,,0,0.0,seconds,0.0,0.009781534783542156,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,133.738813420427,,0,0.0,seconds,0.0,0.008993798866868019,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,4.190784237782909,,0,0.0,seconds,0.0,0.009794485755264759,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,60.8616582796536,,0,0.0,seconds,0.0,0.01181388646364212,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,21.431281538273986,,0,0.0,seconds,0.0,0.009083887562155724,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,8.910031381443865,,0,0.0,seconds,0.0,0.008439400233328342,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,43.09022984648842,,0,0.0,seconds,0.0,0.008849270641803741,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,45.9928803165614,,0,0.0,seconds,0.0,0.009810916148126125,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,15.670836075027834,,0,0.0,seconds,0.0,0.010755668394267559,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,142.25683362252278,,0,0.0,seconds,0.0,0.011826961301267147,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,78.57871393680065,,0,0.0,seconds,0.0,0.01005740836262703,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,70.17198467504478,,0,0.0,seconds,0.0,0.011388414539396763,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,182.1180836506742,,0,0.0,seconds,0.0,0.012975803576409817,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,28.11124027739769,,0,0.0,seconds,0.0,0.009478846564888954,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,152.72393624154418,,0,0.0,seconds,0.0,0.012221014127135277,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,35.21331972286484,,0,0.0,seconds,0.0,0.008659034967422485,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,22.3539059416189,,0,0.0,seconds,0.0,0.009069925174117088,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,108.92807872683342,,0,0.0,seconds,0.0,0.008861304260790348,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,20.165337813660532,,0,0.0,seconds,0.0,0.008681748993694782,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,78.14034601183508,,0,0.0,seconds,0.0,0.008406715467572212,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,6.78670812058357,,0,0.0,seconds,0.0,0.011605546809732914,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,47.70856462994593,,0,0.0,seconds,0.0,0.008685311302542686,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-16p,256,256,103.89756269438288,,0,0.0,seconds,0.0,0.011533630080521107,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-students-4df-32p,1024,1024,15.421083416035122,,0,0.0,seconds,0.21826410293579102,0.16985554341226816,megabytes,552.0,552.0,0.0,0.0,0.19816038400000002,0.19816038400000002,0.584375,0.584375,success,lp
2D-students-4df-32p,1024,1024,115.50524453586104,,0,0.0,seconds,0.46068453788757324,0.24092613719403744,megabytes,552.0,552.0,0.0,0.0,0.19802112000000002,0.19802112000000002,0.75546875,0.377734375,success,lp
2D-students-4df-32p,1024,1024,63.22599939503258,,0,0.0,seconds,0.3099844455718994,0.16139394417405128,megabytes,552.0,552.0,0.0,0.0,0.19810304,0.19810304,0.33828125,0.33828125,success,lp
2D-students-4df-32p,1024,1024,81.34116746722741,,0,0.0,seconds,0.21613478660583496,0.14631385635584593,megabytes,552.0,552.0,0.0,0.0,0.19804569600000002,0.19804569600000002,0.4953125,0.4953125,success,lp
2D-students-4df-32p,1024,1024,8.916735385805273,,0,0.0,seconds,0.21838593482971191,0.1201063422486186,megabytes,552.0,552.0,0.0,0.0,0.198049792,0.198049792,0.340625,0.340625,success,lp
2D-students-4df-32p,1024,1024,76.3276350685432,,0,0.0,seconds,0.27033066749572754,0.1190752973780036,megabytes,552.0,552.0,0.0,0.0,0.19797196800000003,0.19797196800000003,0.2609375,0.2609375,success,lp
2D-students-4df-32p,1024,1024,79.98576589543026,,0,0.0,seconds,0.24743056297302246,0.2031327085569501,megabytes,552.0,552.0,0.0,0.0,0.19808256000000002,0.19808256000000002,0.61328125,0.61328125,success,lp
2D-students-4df-32p,1024,1024,129.25782726530116,,0,0.0,seconds,0.3029797077178955,0.16162295825779438,megabytes,552.0,552.0,0.0,0.0,0.19808256000000002,0.19808256000000002,0.3515625,0.3515625,success,lp
2D-students-4df-32p,1024,1024,3.7317225647171086,,0,0.0,seconds,0.21251797676086426,0.17660312913358212,megabytes,552.0,552.0,0.0,0.0,0.19808256000000002,0.19808256000000002,0.62265625,0.62265625,success,lp
2D-students-4df-32p,1024,1024,59.084588433843834,,0,0.0,seconds,0.2343733310699463,0.22816383093595505,megabytes,552.0,552.0,0.0,0.0,0.19807027200000002,0.19807027200000002,0.7296875,0.7296875,success,lp
2D-students-4df-32p,1024,1024,20.501986874118618,,0,0.0,seconds,0.22832393646240234,0.16560374852269888,megabytes,552.0,552.0,0.0,0.0,0.198098944,0.198098944,0.53828125,0.53828125,success,lp
