dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name
2D-gauss-1c-16p,256,256,24.108860587226758,,0,0.0,seconds,0.0,0.009461717680096626,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-gauss-1c-16p,256,256,193.27029621895957,,0,0.0,seconds,0.0,0.012017102912068367,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-gauss-1c-16p,256,256,113.15884245237741,,0,0.0,seconds,0.0,0.009657872840762138,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-gauss-1c-16p,256,256,134.85204686399436,,0,0.0,seconds,0.0,0.007204984314739704,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-gauss-1c-16p,256,256,14.286225608378432,,0,0.0,seconds,0.0,0.008175558410584927,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-gauss-1c-16p,256,256,128.4983285943745,,0,0.0,seconds,0.0,0.008324292488396168,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-gauss-1c-16p,256,256,128.12473961999817,,0,0.0,seconds,0.0,0.009961615316569805,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-gauss-1c-16p,256,256,237.9516672324268,,0,0.0,seconds,0.0,0.010484435595571995,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-gauss-1c-16p,256,256,4.942051451112047,,0,0.0,seconds,0.0,0.006683927029371262,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-gauss-1c-16p,256,256,104.02155089015041,,0,0.0,seconds,0.0,0.011109891347587109,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-gauss-1c-16p,256,256,35.35601685112641,,0,0.0,seconds,0.0,0.0071390848606824875,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-gauss-1c-16p,256,256,13.585074608896932,,0,0.0,seconds,0.0,0.008095609955489635,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-gauss-1c-16p,256,256,64.87695861298958,,0,0.0,seconds,0.0,0.00908863265067339,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-gauss-1c-16p,256,256,77.46725521657363,,0,0.0,seconds,0.0,0.0106815779581666,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-gauss-1c-16p,256,256,22.057114174135698,,0,0.0,seconds,0.0,0.009710395708680153,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-gauss-1c-16p,256,256,242.4561729043507,,0,0.0,seconds,0.0,0.012430415488779545,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
2D-gauss-1c-16p,256,256,121.4089718041586,,0,0.0,seconds,0.0,0.01097019575536251,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
