dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,tol
2D-gauss-1c-16p,256,256,24.392923033084713,41,5.551559098287361e-07,0.011782491537922622,seconds,0.0,0.004445617087185383,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,193.62431692907137,41,8.262600100504362e-07,0.0018317388498785162,seconds,0.0,0.004682322032749653,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,113.4549078956739,111,7.504209597344976e-07,0.002616370377074887,seconds,0.0,0.0075658708810806274,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,nan,11,nan,nan,seconds,0.0,0.002952498383820057,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,14.698300305123572,121,4.973426928424568e-07,0.02884419636376673,seconds,0.0,0.007956628687679768,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,128.82777980709417,61,1.967140469270945e-07,0.0025638560152765936,seconds,0.0,0.005145533010363579,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,128.56176096255285,51,2.9117077462325874e-07,0.0034109052151117475,seconds,0.0,0.0048880428075790405,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,238.13682389019078,91,2.6678780932397937e-07,0.0007781271714441889,seconds,0.0,0.006418593227863312,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,nan,11,nan,nan,seconds,0.0,0.0028885584324598312,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,104.44841610128934,101,3.720738923143243e-07,0.004103622830904654,seconds,0.0,0.006855483166873455,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,nan,11,nan,nan,seconds,0.0,0.0029594991356134415,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,13.900132661934279,131,4.722002477537796e-07,0.0231914849279528,seconds,0.0,0.008312001824378967,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,65.15493181546839,61,1.8200243098177573e-07,0.004284621357437511,seconds,0.0,0.005276692099869251,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,77.67420440778778,81,4.88925513462061e-07,0.002671440864086206,seconds,0.0,0.0063327038660645485,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,22.144809653484643,21,8.653634712554299e-07,0.003975836487792988,seconds,0.0,0.0034011974930763245,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,nan,11,nan,nan,seconds,0.0,0.0029625222086906433,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,nan,11,nan,nan,seconds,0.0,0.003199990838766098,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,115.03956589876174,91,8.3157042481293e-07,0.0026752069910121463,seconds,0.0,0.006540472619235516,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,nan,11,nan,nan,seconds,0.0,0.0030126720666885376,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,nan,11,nan,nan,seconds,0.0,0.002948305569589138,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,nan,11,nan,nan,seconds,0.0,0.0029215924441814423,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,58.78298031465851,51,5.002923228822815e-07,0.00396294509953014,seconds,0.0,0.004841054789721966,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,34.83863775319042,141,5.219053327409388e-07,0.0091580716878498,seconds,0.0,0.008902150206267834,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,187.35642500313926,91,3.3082144669828803e-07,0.0018451692381523518,seconds,0.0,0.006755146197974682,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
2D-gauss-1c-16p,256,256,32.66272979451661,71,1.7303313260382106e-07,0.014981095809828038,seconds,0.0,0.00573375727981329,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,10000,1e-06
