dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,learning_rate,tol
1D-gaussian-2c-32p,32,32,0.13866645843300157,171590,9.999912693459123e-07,8.831793438467425,seconds,6.019500494003296,5.856546496972442,megabytes,546.0,546.0,73.0,67.25,0.164888576,0.164888576,0.8078125,0.7556361607142855,success,gradient,1.0,1000000,0.001,1e-06
1D-gaussian-2c-32p,32,32,0.156239785529944,754605,9.999991350539972e-07,0.9231970481075235,seconds,25.372316360473633,25.221659556031227,megabytes,546.0,546.0,78.0,69.71681415929204,0.224534528,0.224534528,0.8171875,0.7712596792035403,success,gradient,1.0,1000000,0.001,1e-06
1D-gaussian-2c-32p,32,32,0.15940993641492013,108664,9.999936962934441e-07,84.96544284925027,seconds,3.745582342147827,3.710946892388165,megabytes,546.0,546.0,73.0,64.5,0.16470016,0.16470016,0.8171875,0.7744791666666667,success,gradient,1.0,1000000,0.001,1e-06
1D-gaussian-2c-32p,32,32,0.15514145045433364,205790,9.999909860169964e-07,2.367643294056913,seconds,7.1514058113098145,7.101636948995292,megabytes,546.0,546.0,72.0,65.88235294117646,0.16472883200000002,0.16472883200000002,0.7953125,0.7706112132352941,success,gradient,1.0,1000000,0.001,1e-06
1D-gaussian-2c-32p,32,32,0.15711355512154218,181191,9.99996173867146e-07,21.90775632722514,seconds,6.275132179260254,6.110086909495294,megabytes,546.0,546.0,73.0,66.61538461538461,0.16719462400000001,0.16719462400000001,0.81015625,0.7462439903846154,success,gradient,1.0,1000000,0.001,1e-06
1D-gaussian-2c-32p,32,32,0.16203068051394748,143286,9.999851187103559e-07,15.632788552426469,seconds,4.946784734725952,4.9189763236790895,megabytes,546.0,546.0,73.0,66.34782608695652,0.16461824,0.16461824,0.81484375,0.7729959239130437,success,gradient,1.0,1000000,0.001,1e-06
1D-gaussian-2c-32p,32,32,0.16217661452990173,217730,9.99993463146609e-07,8.136324551505952,seconds,7.415495872497559,7.253289905376732,megabytes,546.0,546.0,73.0,68.28125,0.16462643200000002,0.16462643200000002,0.81328125,0.7593017578125001,success,gradient,1.0,1000000,0.001,1e-06
1D-gaussian-2c-32p,32,32,0.17493465546357392,190720,9.999958638928774e-07,2.98698365036827,seconds,6.462827444076538,6.3873222498223186,megabytes,546.0,546.0,73.0,66.82758620689656,0.165113856,0.165113856,0.8140625,0.7667564655172411,success,gradient,1.0,1000000,0.001,1e-06
1D-gaussian-2c-32p,32,32,0.1580663402708754,246493,9.999984902364645e-07,1.720387940563718,seconds,8.2485191822052,8.143797135911882,megabytes,546.0,546.0,73.0,69.31428571428572,0.164909056,0.164909056,0.81015625,0.7667633928571429,success,gradient,1.0,1000000,0.001,1e-06
1D-gaussian-2c-32p,32,32,0.16168832941435973,182141,9.999980603581093e-07,10.55319036732473,seconds,6.138374328613281,6.101687151938677,megabytes,546.0,546.0,73.0,68.07142857142857,0.164900864,0.164900864,0.82578125,0.7685825892857144,success,gradient,1.0,1000000,0.001,1e-06
1D-gaussian-2c-32p,32,32,0.16342715737232136,192927,9.999992514053702e-07,7.308329090742128,seconds,6.605622291564941,6.575017602182925,megabytes,546.0,546.0,73.0,67.53333333333333,0.164827136,0.164827136,0.81953125,0.77875,success,gradient,1.0,1000000,0.001,1e-06
