dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,learning_rate,tol
1D-gen-hyperb-mixture-2c-32p,32,32,0.0911356072697233,982586,9.999997967469199e-07,1.2607211064777935,seconds,584.9207201004028,584.8738632071763,megabytes,546.0,546.0,100.0,99.32795482049214,0.232886272,0.232886272,0.84921875,0.7794341216216217,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.14157671315782078,735552,9.999996271048417e-07,3.787024410541709,seconds,463.8849823474884,463.7790115084499,megabytes,546.0,546.0,100.0,99.37576064908723,0.23289446400000002,0.23289446400000002,0.83828125,0.779100373985801,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.15176264445053936,1000000,1.096074377038292e-06,0.30459396241499276,seconds,610.0530965328217,609.9632226657122,megabytes,546.0,546.0,100.0,99.3179190751445,0.232808448,0.232808448,0.85,0.7792873916184969,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.06960209174567351,923132,9.999994663445477e-07,4.668685468202806,seconds,496.19461703300476,496.14263191539794,megabytes,546.0,546.0,100.0,99.13718929254303,0.23288217600000002,0.23288217600000002,0.84765625,0.7789682421128103,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.17954923713139762,972120,9.999997194753973e-07,0.25754688529169706,seconds,450.77246594429016,450.6273058950901,megabytes,546.0,546.0,100.0,98.72014729089953,0.232910848,0.232910848,0.8375,0.7790015945554969,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.08659814485153583,1000000,1.0263556662337692e-06,0.3801666586859066,seconds,672.1344423294067,672.0410069851205,megabytes,546.0,546.0,100.0,99.43459766040411,0.232935424,0.232935424,0.83671875,0.779232763204537,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.10386714736217247,810144,9.999999965870643e-07,0.38149480084979165,seconds,402.39459133148193,402.21915735304356,megabytes,546.0,546.0,100.0,99.05529411764707,0.23344742400000001,0.23344742400000001,0.821875,0.7785252757352941,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.048263647654430836,1000000,1.0197927124977468e-06,0.7778288893322175,seconds,446.71366572380066,446.5937750590965,megabytes,546.0,546.0,100.0,98.6884176182708,0.232902656,0.232902656,0.82578125,0.7792138220500275,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.05692849869909773,908470,9.999993046960753e-07,0.9981525438538597,seconds,608.0513052940369,607.9542686780915,megabytes,546.0,546.0,100.0,99.5108173076923,0.23293132800000002,0.23293132800000002,0.834375,0.7792173727964753,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.1506511941845789,995358,9.999991350539972e-07,0.09828037555729556,seconds,716.0305283069611,715.975455631502,megabytes,546.0,546.0,100.0,99.6189852700491,0.23298457600000003,0.23298457600000003,0.83671875,0.7795877659574475,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.15155077324036903,772331,9.999993437759258e-07,0.06693316412027504,seconds,474.90116930007935,474.8138314522803,megabytes,546.0,546.0,100.0,99.38913580246914,0.23296819200000002,0.23296819200000002,0.84609375,0.7791712962962963,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.06678009132899065,1000000,1.0359073261412277e-06,0.03406300246798689,seconds,689.4234466552734,689.2859172169119,megabytes,546.0,546.0,100.0,99.44783802333562,0.232935424,0.232935424,0.834375,0.779296070693206,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.20577881298025016,995900,9.999996422038748e-07,0.33849654428855697,seconds,487.1815826892853,487.13886318542063,megabytes,546.0,546.0,100.0,98.82646631119728,0.23300505600000002,0.23300505600000002,0.834375,0.7794951223945709,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.08112666548276082,865337,9.999990950859683e-07,5.089781974049003,seconds,794.8011744022369,794.7351488089189,megabytes,546.0,546.0,100.0,99.82048228639476,0.23296819200000002,0.23296819200000002,0.83984375,0.7794491012950293,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.1405249083906593,1000000,1.0298142587572556e-06,0.31799469967827176,seconds,693.0946626663208,692.9112253692001,megabytes,546.0,546.0,100.0,99.42818150801774,0.23356620800000003,0.23356620800000003,0.840625,0.7792770172296172,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.1215248193157624,1000000,1.0030194825816352e-06,0.33889349278021325,seconds,661.7382881641388,661.6206057202071,megabytes,546.0,546.0,100.0,99.38518518518518,0.23299276800000002,0.23299276800000002,0.83671875,0.7785728064373891,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.10548555461804682,974402,9.999995569387465e-07,0.1189366471667236,seconds,808.850439786911,808.7150751519948,megabytes,546.0,546.0,100.0,99.71052631578948,0.232976384,0.232976384,0.8359375,0.7794093731519806,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.061780202518664756,1000000,1.057654953839915e-06,0.07816380759737093,seconds,683.4547016620636,683.29196321778,megabytes,546.0,546.0,100.0,99.50771929824562,0.233025536,0.233025536,0.83046875,0.7788209978070174,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.04152535183446146,970330,9.999995276288587e-07,0.018530265340459366,seconds,521.9396986961365,521.9538701912388,megabytes,546.0,546.0,100.0,99.02492809204219,0.23309516800000002,0.23309516800000002,0.83359375,0.7798897411313526,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.09224256942557246,943942,9.99999915762828e-07,0.2424499335131198,seconds,844.0163297653198,844.0080747511238,megabytes,546.0,546.0,100.0,99.79812606473594,0.232861696,0.232861696,0.846875,0.7793536609170927,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.10827821660806641,946089,9.999991332776403e-07,0.8113318406137007,seconds,794.1333525180817,794.1345798783004,megabytes,546.0,546.0,100.0,99.76156371232467,0.23284531200000003,0.23284531200000003,0.846875,0.7789393557893176,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.07576310413013021,970297,9.999990684406157e-07,0.019777055330036136,seconds,716.9907195568085,716.8009291794151,megabytes,546.0,546.0,100.0,99.57979598552156,0.233279488,0.233279488,0.83828125,0.7789296437973013,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.09707109096464911,1000000,1.0429547714352339e-06,0.13941206097661646,seconds,794.4895751476288,794.482289167121,megabytes,546.0,546.0,100.0,99.62992357436802,0.232935424,0.232935424,0.8421875,0.7792066247795432,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.04605040604772618,844368,9.999992371945154e-07,1.0068677121503937,seconds,566.6359550952911,566.6623754883185,megabytes,546.0,546.0,100.0,99.36525704809287,0.23298457600000003,0.23298457600000003,0.8421875,0.7791099839344932,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.11152808897331554,929998,9.999995933540617e-07,2.806867638541933,seconds,753.3183801174164,753.2689451612532,megabytes,546.0,546.0,100.0,99.6420756486402,0.23299276800000002,0.23299276800000002,0.84375,0.7789379982025643,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.046137514227683196,1000000,1.075391511839996e-06,0.16504558101211658,seconds,150.9413161277771,150.84739906340837,megabytes,546.0,546.0,100.0,94.23270440251572,0.22657433600000002,0.22657433600000002,0.846875,0.7785647602201267,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.0806003459933971,860726,9.999993793030626e-07,1.0745855618724813,seconds,29.580040454864502,29.40982160717249,megabytes,546.0,546.0,81.0,73.54615384615384,0.22591897600000002,0.22591897600000002,0.82109375,0.7734014423076921,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.2163562433380906,851629,9.999991510412087e-07,0.3248912153746471,seconds,28.74049162864685,28.7406773744151,megabytes,546.0,546.0,81.0,71.56390977443608,0.22531276800000002,0.22531276800000002,0.815625,0.7791059680451136,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.12240345461885138,893652,9.999990631115452e-07,0.27206024786024896,seconds,29.860763549804688,29.707953678444028,megabytes,546.0,546.0,80.0,71.02272727272727,0.224382976,0.224382976,0.84375,0.7737926136363632,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-32p,32,32,0.157582438390155,848008,9.999993677567431e-07,0.09887267796178456,seconds,27.725394010543823,27.601325425319374,megabytes,546.0,546.0,81.0,72.41269841269842,0.22329344,0.22329344,0.81484375,0.772699652777778,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-64p,64,64,0.09627116329464455,906673,9.999992371945154e-07,1.4279145490984786,seconds,33.84523940086365,33.84479377698153,megabytes,546.0,546.0,93.0,73.71034482758621,0.22484992,0.22484992,0.81953125,0.7814655172413796,success,gradient,1.0,1000000,0.001,1e-06
1D-gen-hyperb-mixture-2c-64p,64,64,0.14092559387835074,799218,9.99999149264852e-07,3.8979710195403587,seconds,29.536839723587036,29.375677292235196,megabytes,546.0,546.0,96.0,74.33088235294117,0.22515712000000002,0.22515712000000002,0.853125,0.7765050551470584,success,gradient,1.0,1000000,0.001,1e-06
