dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,tol
1D-students-2df-32p,32,32,0.19570927244496783,283,5.671800700204805e-07,seconds,0.2172410488128662,0.08958020806312561,megabytes,544.0,544.0,11.0,11.0,0.23982899200000002,0.23982899200000002,0.2484375,0.2484375,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.1601089270474172,327,2.848279434793184e-07,seconds,0.21613550186157227,0.10092034563422203,megabytes,544.0,544.0,12.0,12.0,0.239558656,0.239558656,0.26015625,0.26015625,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.1615045096732968,256,4.3459024834274905e-07,seconds,0.2279059886932373,0.08170063607394695,megabytes,544.0,544.0,5.0,5.0,0.23953408,0.23953408,0.12890625,0.12890625,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.15962813430691355,244,9.303742743876795e-07,seconds,0.23488402366638184,0.08608458749949932,megabytes,544.0,544.0,0.0,0.0,0.239583232,0.239583232,0.196875,0.196875,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.1521771262662486,367,6.21166204450007e-07,seconds,0.20488333702087402,0.11152452044188976,megabytes,544.0,544.0,0.0,0.0,0.23948902400000002,0.23948902400000002,0.40234375,0.40234375,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.3162580978693421,291,7.782258503154639e-07,seconds,0.2150883674621582,0.09504369273781776,megabytes,544.0,544.0,0.0,0.0,0.23940300800000003,0.23940300800000003,0.25703125,0.25703125,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.167516548592714,346,4.3793738794611215e-07,seconds,0.20837664604187012,0.1066325195133686,megabytes,544.0,544.0,0.0,0.0,0.23940300800000003,0.23940300800000003,0.3484375,0.3484375,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.1601634912447164,274,9.861449273784967e-07,seconds,0.2148289680480957,0.08786872774362564,megabytes,544.0,544.0,0.0,0.0,0.23946035200000002,0.23946035200000002,0.25390625,0.25390625,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.15861784720325345,294,4.5680963154505597e-07,seconds,0.23621082305908203,0.09387484937906265,megabytes,544.0,544.0,0.0,0.0,0.239382528,0.239382528,0.2015625,0.2015625,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.17880783497779207,389,8.753990731073469e-07,seconds,0.21148943901062012,0.11821131780743599,megabytes,544.0,544.0,44.0,44.0,0.23928832000000003,0.23928832000000003,0.36796875,0.36796875,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.18109593376900918,296,4.1193278653210536e-07,seconds,0.21789789199829102,0.09298260323703289,megabytes,544.0,544.0,39.0,39.0,0.239353856,0.239353856,0.21640625,0.21640625,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.17781886227597743,280,3.521786957635187e-07,seconds,0.21492552757263184,0.08976999670267105,megabytes,544.0,544.0,37.0,37.0,0.239316992,0.239316992,0.3,0.3,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.29764379396492563,263,6.0807239811311e-07,seconds,0.23096990585327148,0.08689513616263866,megabytes,544.0,544.0,31.0,31.0,0.23931289600000002,0.23931289600000002,0.1703125,0.1703125,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.23034797974312546,279,8.841920124160549e-07,seconds,0.21303606033325195,0.09013040363788605,megabytes,544.0,544.0,20.0,20.0,0.23927603200000003,0.23927603200000003,0.26015625,0.26015625,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.16509087660552169,292,2.0437439996873257e-07,seconds,0.2539863586425781,0.09956550411880016,megabytes,544.0,544.0,18.0,18.0,0.23927193600000002,0.23927193600000002,0.25546875,0.25546875,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.16782943705591025,306,6.930149798384214e-07,seconds,0.24978351593017578,0.10260500200092793,megabytes,544.0,544.0,0.0,0.0,0.239304704,0.239304704,0.2578125,0.2578125,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.19184428112049623,253,9.337461505990716e-07,seconds,0.25391244888305664,0.08857242949306965,megabytes,544.0,544.0,0.0,0.0,0.23925964800000002,0.23925964800000002,0.15078125,0.15078125,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.16480783750648692,255,3.618345416378656e-07,seconds,0.2163984775543213,0.08188893646001816,megabytes,544.0,544.0,35.0,35.0,0.23926784,0.23926784,0.21015625,0.21015625,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.23339041942093186,277,1.9965216490124912e-07,seconds,0.21578693389892578,0.08841557055711746,megabytes,544.0,544.0,38.0,38.0,0.23918592000000002,0.23918592000000002,0.259375,0.259375,success,lbfgs,1.0,100000,1e-06
1D-students-2df-32p,32,32,0.25902990390643577,455,8.548524559682597e-07,seconds,0.2244243621826172,0.13692349009215832,megabytes,544.0,544.0,38.0,38.0,0.23933337600000001,0.23933337600000001,0.3828125,0.3828125,success,lbfgs,1.0,100000,1e-06
