dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,tol
1D-gaussian-1c-32p,32,32,0.15971968458544772,326,4.944949782576563e-07,41.45976166520621,seconds,1.2817635536193848,1.1739146653562784,megabytes,546.0,546.0,100.0,99.83333333333333,0.16778035200000002,0.16778035200000002,0.77734375,0.6932291666666668,success,lbfgs,1.0,100000,1e-06
1D-gaussian-1c-32p,32,32,0.1617331443080048,274,6.105490844782123e-07,111.37481907929485,seconds,1.1424977779388428,1.0218085516244173,megabytes,546.0,546.0,100.0,99.8,0.167497728,0.167497728,0.78125,0.674375,success,lbfgs,1.0,100000,1e-06
1D-gaussian-1c-32p,32,32,0.1612667896182887,273,8.543012247528736e-08,173.80109625938888,seconds,0.47777533531188965,0.3420122927054763,megabytes,546.0,546.0,100.0,99.5,0.16671539200000002,0.16671539200000002,0.7921875,0.51484375,success,lbfgs,1.0,100000,1e-06
1D-gaussian-1c-32p,32,32,0.15541228550817426,492,7.752704284583563e-07,1.2081672519982205,seconds,0.22364497184753418,0.14809742476791143,megabytes,546.0,546.0,24.0,24.0,0.160346112,0.160346112,0.5125,0.5125,success,lbfgs,1.0,100000,1e-06
1D-gaussian-1c-32p,32,32,0.23792985276500622,1710,9.354391077888591e-07,0.05474705688379357,seconds,0.6356382369995117,0.47226784378290176,megabytes,546.0,546.0,92.0,56.333333333333336,0.168075264,0.168075264,0.778125,0.5184895833333333,success,lbfgs,1.0,100000,1e-06
1D-gaussian-1c-32p,32,32,0.1602564693188531,346,8.188142717600246e-07,16.45417485180812,seconds,0.22484922409057617,0.1060386449098587,megabytes,546.0,546.0,32.0,32.0,0.16022323200000002,0.16022323200000002,0.2953125,0.2953125,success,lbfgs,1.0,100000,1e-06
1D-gaussian-1c-32p,32,32,0.161311421462347,283,6.645312926719903e-07,433.6835636147584,seconds,0.23049068450927734,0.08940121438354254,megabytes,546.0,546.0,0.0,0.0,0.160292864,0.160292864,0.20625,0.20625,success,lbfgs,1.0,100000,1e-06
1D-gaussian-1c-32p,32,32,0.15876540303963085,312,9.690330293585192e-07,25.001039781792215,seconds,0.2227184772491455,0.0970433708280325,megabytes,546.0,546.0,41.0,41.0,0.16013312000000002,0.16013312000000002,0.29140625,0.29140625,success,lbfgs,1.0,100000,1e-06
1D-gaussian-1c-32p,32,32,0.168955625507677,787,9.617226522036319e-07,0.3729323736335845,seconds,0.2245161533355713,0.23006849363446236,megabytes,546.0,546.0,4.0,4.0,0.16015769600000002,0.16015769600000002,0.7578125,0.7578125,success,lbfgs,1.0,100000,1e-06
1D-gaussian-1c-32p,32,32,0.16848688003661663,325,7.61235425325176e-07,3.9859549756765533,seconds,0.21308588981628418,0.10217185504734516,megabytes,546.0,546.0,7.0,7.0,0.160100352,0.160100352,0.3,0.3,success,lbfgs,1.0,100000,1e-06
1D-gaussian-1c-32p,32,32,0.16431975582849237,295,5.446057909637614e-07,10.655342943301049,seconds,0.21355295181274414,0.09191998094320297,megabytes,546.0,546.0,17.0,17.0,0.160067584,0.160067584,0.2546875,0.2546875,success,lbfgs,1.0,100000,1e-06
1D-gaussian-1c-32p,32,32,0.21445735181638048,380,9.867983855492865e-07,0.4144104208991706,seconds,0.22200942039489746,0.11604620423167944,megabytes,546.0,546.0,0.0,0.0,0.160079872,0.160079872,0.3015625,0.3015625,success,lbfgs,1.0,100000,1e-06
1D-gaussian-1c-32p,32,32,0.17856694297960507,306,4.1096467654884394e-07,3.0085840927386327,seconds,0.28164005279541016,0.09671305026859045,megabytes,546.0,546.0,34.0,34.0,0.160137216,0.160137216,0.14765625,0.14765625,success,lbfgs,1.0,100000,1e-06
1D-gaussian-1c-32p,32,32,0.16222692930440474,315,5.340865810046179e-07,10.464184277163753,seconds,0.24089860916137695,0.09714695904403925,megabytes,546.0,546.0,12.0,12.0,0.160555008,0.160555008,0.20234375,0.20234375,success,lbfgs,1.0,100000,1e-06
1D-gaussian-1c-32p,32,32,0.16256140530832985,301,5.830214895971772e-07,30.171962686360327,seconds,0.3126261234283447,0.09378963150084019,megabytes,546.0,546.0,39.0,39.0,0.16225894400000002,0.16225894400000002,0.0,0.0,success,lbfgs,1.0,100000,1e-06
