dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,tol
1D-gaussian-2c-32p,32,32,0.17018858189915087,302,8.248608414646408e-07,seconds,0.2095022201538086,0.09646791964769363,megabytes,544.0,544.0,0.0,0.0,0.23246438400000002,0.23246438400000002,0.26015625,0.26015625,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-32p,32,32,0.13695045773373637,334,3.965703098431648e-07,seconds,0.23997807502746582,0.11103935912251472,megabytes,544.0,544.0,0.0,0.0,0.232280064,0.232280064,0.3015625,0.3015625,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-32p,32,32,0.1557672561687391,521,9.183901859370049e-07,seconds,0.23842716217041016,0.15365732833743095,megabytes,544.0,544.0,39.0,39.0,0.23215718400000002,0.23215718400000002,0.4234375,0.4234375,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-32p,32,32,0.1588074622966163,340,8.127981144665732e-07,seconds,0.24825215339660645,0.11072250828146935,megabytes,544.0,544.0,30.0,30.0,0.23217356800000002,0.23217356800000002,0.2609375,0.2609375,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-32p,32,32,0.15567299855697186,376,6.99805161195989e-07,seconds,0.2442464828491211,0.12445168197154999,megabytes,544.0,544.0,0.0,0.0,0.23219404800000001,0.23219404800000001,0.3375,0.3375,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-32p,32,32,0.15723864606440163,285,6.640726567363554e-07,seconds,0.22426056861877441,0.08994932845234871,megabytes,544.0,544.0,0.0,0.0,0.2321408,0.2321408,0.2453125,0.2453125,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-32p,32,32,0.1627295218414574,293,2.3170974336910741e-07,seconds,0.21291017532348633,0.09155058488249779,megabytes,544.0,544.0,0.0,0.0,0.23214489600000002,0.23214489600000002,0.25625,0.25625,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-32p,32,32,0.16276077668542827,316,2.146626804768435e-07,seconds,0.20532941818237305,0.09810707531869411,megabytes,544.0,544.0,0.0,0.0,0.23209574400000002,0.23209574400000002,0.30703125,0.30703125,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-32p,32,32,0.17717036742617062,324,5.408348492136497e-07,seconds,0.22295117378234863,0.09984025172889233,megabytes,544.0,544.0,0.0,0.0,0.232189952,0.232189952,0.3046875,0.3046875,success,lbfgs,1.0,100000,1e-06
1D-gaussian-2c-32p,32,32,0.15814911835302825,365,7.963923053837603e-07,seconds,0.2306687831878662,0.11166832782328129,megabytes,544.0,544.0,48.0,48.0,0.23203430400000002,0.23203430400000002,0.29921875,0.29921875,success,lbfgs,1.0,100000,1e-06
