dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,tol
1D-cauchy-vs-gaussian-32p,32,32,0.2337527386259728,293,8.300293740735227e-07,seconds,0.24175262451171875,0.10222342796623707,megabytes,544.0,544.0,39.0,39.0,0.033976320000000004,0.033976320000000004,0.30546875,0.30546875,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.14674685006477411,440,4.330835860753679e-07,seconds,0.21772098541259766,0.13149001076817513,megabytes,544.0,544.0,17.0,17.0,0.033869824,0.033869824,0.39140625,0.39140625,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.3039422202894786,264,8.538694452599914e-07,seconds,0.24338459968566895,0.08940464444458485,megabytes,544.0,544.0,8.0,8.0,0.03414016,0.03414016,0.1953125,0.1953125,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.33721556634096195,263,7.931149922978885e-07,seconds,0.2211446762084961,0.09007560461759567,megabytes,544.0,544.0,0.0,0.0,0.034148352,0.034148352,0.21171875,0.21171875,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.09602228288213303,523,6.641806855545124e-07,seconds,0.20842957496643066,0.15751123242080212,megabytes,544.0,544.0,0.0,0.0,0.033775616,0.033775616,0.565625,0.565625,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.15791408171411814,375,6.809403259228471e-07,seconds,0.2082996368408203,0.11517328955233097,megabytes,544.0,544.0,0.0,0.0,0.03371008,0.03371008,0.35078125,0.35078125,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.1818399189358034,360,7.360750201685095e-07,seconds,0.2162611484527588,0.11418418399989605,megabytes,544.0,544.0,0.0,0.0,0.03377152,0.03377152,0.34609375,0.34609375,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.18200110978756584,363,9.92084458600169e-07,seconds,0.24556255340576172,0.11310065165162086,megabytes,544.0,544.0,37.0,37.0,0.03373056,0.03373056,0.209375,0.209375,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.1727640060683293,370,8.281017919042819e-07,seconds,0.19920563697814941,0.11531292274594307,megabytes,544.0,544.0,22.0,22.0,0.033722368,0.033722368,0.44140625,0.44140625,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.19628658735997714,346,8.003501821289328e-07,seconds,0.20655226707458496,0.11052297614514828,megabytes,544.0,544.0,28.0,28.0,0.033644544000000005,0.033644544000000005,0.3890625,0.3890625,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.197841227295452,336,7.122823328559588e-07,seconds,0.2523677349090576,0.11324150487780571,megabytes,544.0,544.0,27.0,27.0,0.033714176000000005,0.033714176000000005,0.26640625,0.26640625,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.15489433339897718,427,6.341045885313599e-07,seconds,0.2469782829284668,0.1379643864929676,megabytes,544.0,544.0,9.0,9.0,0.033685504000000005,0.033685504000000005,0.375,0.375,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.19094764005747983,316,8.330672103230289e-07,seconds,0.25097107887268066,0.10864054039120674,megabytes,544.0,544.0,0.0,0.0,0.034246656,0.034246656,0.22421875,0.22421875,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.2174599408003764,310,8.792835565719118e-07,seconds,0.20258593559265137,0.10013010911643505,megabytes,544.0,544.0,0.0,0.0,0.033652736,0.033652736,0.35,0.35,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.26034853649033285,271,8.998890583636616e-07,seconds,0.22628283500671387,0.08889544196426868,megabytes,544.0,544.0,37.0,37.0,0.033624064,0.033624064,0.27265625,0.27265625,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.21777878791569466,334,9.55782837625353e-07,seconds,0.21087145805358887,0.10649932734668255,megabytes,544.0,544.0,44.0,44.0,0.03452928,0.03452928,0.30859375,0.30859375,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.24713313561930397,235,9.90024387427074e-07,seconds,0.2308788299560547,0.0809601079672575,megabytes,544.0,544.0,33.0,33.0,0.034353152000000005,0.034353152000000005,0.128125,0.128125,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.25315481419712627,259,9.648120619614407e-07,seconds,0.21799468994140625,0.08670981973409653,megabytes,544.0,544.0,27.0,27.0,0.033705984,0.033705984,0.2171875,0.2171875,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.13924429175976724,406,7.220495139055788e-07,seconds,0.2142014503479004,0.12470239214599133,megabytes,544.0,544.0,27.0,27.0,0.033624064,0.033624064,0.3875,0.3875,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.036748052709010735,95858,8.582215749181472e-07,seconds,298.6995198726654,298.6548574641347,megabytes,544.0,544.0,93.0,71.9079754601227,0.10284646400000001,0.10284646400000001,0.84375,0.7796419670245391,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.19921669474724252,340,9.778737818154685e-07,seconds,0.2469015121459961,0.10771314240992069,megabytes,544.0,544.0,45.0,45.0,0.029831168,0.029831168,0.27890625,0.27890625,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.15469327974876879,281,8.427959362609296e-07,seconds,0.2516491413116455,0.09877412393689156,megabytes,544.0,544.0,35.0,35.0,0.030040064000000002,0.030040064000000002,0.15703125,0.15703125,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.2201181757028724,305,8.412420481213189e-07,seconds,0.2360377311706543,0.09925630316138268,megabytes,544.0,544.0,11.0,11.0,0.029773824,0.029773824,0.24765625,0.24765625,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.1513599125934624,334,6.209303230917759e-07,seconds,0.2168722152709961,0.10641773976385593,megabytes,544.0,544.0,0.0,0.0,0.029769728000000002,0.029769728000000002,0.34609375,0.34609375,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.1715278342704863,382,8.580910056130136e-07,seconds,0.21512508392333984,0.11759771034121513,megabytes,544.0,544.0,0.0,0.0,0.029630464000000002,0.029630464000000002,0.38046875,0.38046875,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.20039372593420846,329,9.50536139716311e-07,seconds,0.22063827514648438,0.10421857610344887,megabytes,544.0,544.0,0.0,0.0,0.029704192,0.029704192,0.2984375,0.2984375,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.18404619205725192,315,9.280600876092601e-07,seconds,0.24820995330810547,0.11274178698658943,megabytes,544.0,544.0,46.0,46.0,0.03026944,0.03026944,0.32890625,0.32890625,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.18894429271133364,298,9.830699200970866e-07,seconds,0.23246097564697266,0.09708362258970737,megabytes,544.0,544.0,40.0,40.0,0.029704192,0.029704192,0.26484375,0.26484375,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.2626435157575009,231,9.783672320601804e-07,seconds,0.2165369987487793,0.08017573319375515,megabytes,544.0,544.0,26.0,26.0,0.02965504,0.02965504,0.17265625,0.17265625,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.15316111794748996,375,7.004963104406531e-07,seconds,0.2510218620300293,0.12632349878549576,megabytes,544.0,544.0,22.0,22.0,0.02967552,0.02967552,0.33359375,0.33359375,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-32p,32,32,0.36599032547831145,343,8.599223414348578e-07,seconds,0.2156050205230713,0.11112084239721298,megabytes,544.0,544.0,0.0,0.0,0.030081024,0.030081024,0.340625,0.340625,success,lbfgs,1.0,100000,1e-06
1D-cauchy-vs-gaussian-64p,64,64,0.22956348564537699,1933,3.789312336852661e-07,seconds,2.896681785583496,2.7353733722120523,megabytes,546.0,546.0,94.0,19.307692307692307,0.09263104000000001,0.12857344,1.0765625,0.6685697115384616,success,lbfgs,1.0,100000,1e-06
