dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name
1D-gaussian-1c-32p,32,32,0.0342396976203687,,9.020562075079397e-17,0.0,seconds,0.30564308166503906,0.0246189683675766,megabytes,542.0,542.0,0.0,0.0,0.157405184,0.157405184,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.0037616717174446725,,8.326672684688674e-17,0.0,seconds,0.0,0.0020522261038422585,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.0014392294077366329,,9.367506770274758e-17,0.0,seconds,0.0,0.0017623482272028923,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.0009225731020529957,,2.7755575615628914e-17,0.0,seconds,0.0,0.0017171669751405716,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.07038066766343816,,4.163336342344337e-17,0.0,seconds,0.0,0.0017712172120809555,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.2517102480322623,,1.249000902703301e-16,0.0,seconds,0.0,0.0018336521461606026,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.009181555168289822,,4.163336342344337e-17,0.0,seconds,0.0,0.001736389473080635,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.00037110080749524376,,1.3877787807814457e-17,0.0,seconds,0.0,0.00173867866396904,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.0061061174619181854,,2.0816681711721685e-17,0.0,seconds,0.0,0.0017634285613894463,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.12306187016372941,,1.8735013540549517e-16,0.0,seconds,0.0,0.001772386021912098,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.033792298738869846,,9.71445146547012e-17,0.0,seconds,0.0,0.0017246278002858162,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.014098234314326698,,2.706168622523819e-16,0.0,seconds,0.0,0.0017399853095412254,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.15162314180352646,,9.020562075079397e-17,0.0,seconds,0.0,0.0018232492730021477,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.04454613869846736,,1.5265566588595902e-16,0.0,seconds,0.0,0.0017306935042142868,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.014150760785270612,,3.8163916471489756e-17,0.0,seconds,0.0,0.001657678745687008,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.005214987806316751,,8.673617379884035e-17,0.0,seconds,0.0,0.0017610536888241768,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.028928966221050952,,5.551115123125783e-17,0.0,seconds,0.0,0.0018577594310045242,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.005063784843755769,,5.551115123125783e-17,0.0,seconds,0.0,0.001748397946357727,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.06747785445978215,,7.632783294297951e-17,0.0,seconds,0.0,0.001933220773935318,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.2563342413311601,,1.1102230246251565e-16,0.0,seconds,0.0,0.0017593447118997574,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.0014060904077794598,,1.3877787807814457e-17,0.0,seconds,0.0,0.0019647860899567604,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.09681972168622488,,2.0816681711721685e-17,0.0,seconds,0.0,0.0017523914575576782,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.010126383449355033,,1.0408340855860843e-16,0.0,seconds,0.0,0.0017798272892832756,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.029296596672077818,,8.326672684688674e-17,0.0,seconds,0.0,0.0018271710723638535,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.0005856862749557629,,2.0816681711721685e-17,0.0,seconds,0.0,0.0016908170655369759,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.0094209865708122,,1.1102230246251565e-16,0.0,seconds,0.0,0.0016902778297662735,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.13459218459364866,,4.163336342344337e-17,0.0,seconds,0.0,0.0017932485789060593,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.004744738462090236,,7.632783294297951e-17,0.0,seconds,0.0,0.0017368858680129051,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.005817740910527456,,1.2836953722228372e-16,0.0,seconds,0.0,0.001667497679591179,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.07784305236906826,,1.3877787807814457e-16,0.0,seconds,0.0,0.0017855623736977577,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-32p,32,32,0.09116082739873009,,2.393918396847994e-16,0.0,seconds,0.0,0.0020986655727028847,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-64p,64,64,0.03193269909151921,,2.42861286636753e-17,0.0,seconds,0.0,0.0023144902661442757,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-64p,64,64,0.002929029708000685,,5.377642775528102e-17,0.0,seconds,0.0,0.0020756199955940247,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-64p,64,64,0.0007004543109398875,,1.5265566588595902e-16,0.0,seconds,0.0,0.0020745815709233284,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-64p,64,64,0.000441204064623149,,4.5102810375396984e-17,0.0,seconds,0.0,0.002104385755956173,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-64p,64,64,0.06570287628329731,,7.45931094670027e-17,0.0,seconds,0.0,0.002117372117936611,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-64p,64,64,0.24595091342986383,,5.551115123125783e-17,0.0,seconds,0.0,0.0022179484367370605,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-64p,64,64,0.008215045731580127,,7.632783294297951e-17,0.0,seconds,0.0,0.0021229516714811325,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-64p,64,64,0.00017534982414260287,,7.28583859910259e-17,0.0,seconds,0.0,0.001983197405934334,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-64p,64,64,0.005287022463723831,,1.3183898417423734e-16,0.0,seconds,0.0,0.002209513448178768,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-64p,64,64,0.11652607257620454,,4.5102810375396984e-17,0.0,seconds,0.0,0.0021596504375338554,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-64p,64,64,0.03139358277426944,,9.367506770274758e-17,0.0,seconds,0.0,0.0020930934697389603,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-64p,64,64,0.012840184010114542,,4.85722573273506e-17,0.0,seconds,0.0,0.002117263153195381,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-64p,64,64,0.14535308123371793,,5.898059818321144e-17,0.0,seconds,0.0,0.002134038135409355,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-64p,64,64,0.041750653807330444,,6.245004513516506e-17,0.0,seconds,0.0,0.0021740747615695,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-64p,64,64,0.012778963432880711,,1.9081958235744878e-17,0.0,seconds,0.0,0.002154485322535038,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-64p,64,64,0.004383213069611331,,1.1102230246251565e-16,0.0,seconds,0.0,0.002297821454703808,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-64p,64,64,0.026933482139728564,,4.336808689942018e-17,0.0,seconds,0.0,0.0021521197631955147,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-64p,64,64,0.004327657314454468,,6.071532165918825e-17,0.0,seconds,0.0,0.0020694974809885025,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-1c-64p,64,64,0.06385485775376942,,1.0408340855860843e-17,0.0,seconds,0.0,0.0022619450464844704,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
