dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name
1D-gaussian-2c-32p,32,32,0.03444491885715256,,2.0816681711721685e-17,0.0,seconds,0.0,0.0202743262052536,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.01410388239956929,,4.163336342344337e-17,0.0,seconds,0.0,0.00415690615773201,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.08123961384179955,,9.71445146547012e-17,0.0,seconds,0.0,0.0017987731844186783,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.0018543490399329733,,1.0755285551056204e-16,0.0,seconds,0.0,0.0016761906445026398,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.046068255129075364,,2.7755575615628914e-17,0.0,seconds,0.0,0.0017121825367212296,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.006858530921896429,,2.42861286636753e-17,0.0,seconds,0.0,0.0016705058515071869,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.009741642539567406,,2.0816681711721685e-17,0.0,seconds,0.0,0.0017882436513900757,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.017750750163879628,,7.979727989493313e-17,0.0,seconds,0.0,0.0018914677202701569,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.043876441642146075,,5.204170427930421e-17,0.0,seconds,0.0,0.0017173299565911293,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.05810433795634344,,1.1796119636642288e-16,0.0,seconds,0.0,0.0017017889767885208,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.013995123794692605,,1.3530843112619095e-16,0.0,seconds,0.0,0.0016794269904494286,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.019670279738248007,,1.3877787807814457e-17,0.0,seconds,0.0,0.0016521690413355827,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.0037350533993927466,,3.8163916471489756e-17,0.0,seconds,0.0,0.0016815830022096634,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.2551053635917254,,3.122502256758253e-17,0.0,seconds,0.0,0.001735396683216095,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.10094934236387051,,1.0408340855860843e-16,0.0,seconds,0.0,0.001937108114361763,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.011783053908060292,,4.85722573273506e-17,0.0,seconds,0.0,0.0017159171402454376,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.012791354600014359,,6.938893903907228e-17,0.0,seconds,0.0,0.001657259650528431,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.001779431245695388,,1.3530843112619095e-16,0.0,seconds,0.0,0.0015941197052598,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.011462391479616701,,4.163336342344337e-17,0.0,seconds,0.0,0.0016960985958576202,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.012153898801983943,,8.326672684688674e-17,0.0,seconds,0.0,0.0016958517953753471,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.02519197115866057,,1.1796119636642288e-16,0.0,seconds,0.0,0.0017733434215188026,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-gaussian-2c-32p,32,32,0.002800039791112427,,1.3183898417423734e-16,0.0,seconds,0.0,0.001722848042845726,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
