dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name
1D-cauchy-vs-gaussian-32p,32,32,0.1910867355718882,,8.326672684688674e-17,0.0,seconds,0.0,0.023312708362936974,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.01951020233407496,,6.938893903907228e-17,0.0,seconds,0.0,0.002087099477648735,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.37339250289394216,,1.5265566588595902e-16,0.0,seconds,0.0,0.0017600199207663536,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.4651649245573801,,2.7755575615628914e-17,0.0,seconds,0.0,0.0017756382003426552,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.007015208081979701,,2.7755575615628914e-17,0.0,seconds,0.0,0.0015947911888360977,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.05722488900223717,,1.3877787807814457e-16,0.0,seconds,0.0,0.0016822312027215958,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.10214900689033564,,1.3877787807814457e-17,0.0,seconds,0.0,0.0017063189297914505,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.08675072365682222,,1.249000902703301e-16,0.0,seconds,0.0,0.0017285598441958427,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.0644658472118938,,6.245004513516506e-17,0.0,seconds,0.0,0.0017200019210577011,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.116414232841075,,1.5959455978986625e-16,0.0,seconds,0.0,0.0017404807731509209,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.11415429279997023,,7.632783294297951e-17,0.0,seconds,0.0,0.0017256196588277817,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.018742430292506464,,1.5265566588595902e-16,0.0,seconds,0.0,0.001668386161327362,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.23589749486615183,,2.7755575615628914e-17,0.0,seconds,0.0,0.001677732914686203,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.1772317004250873,,3.8163916471489756e-17,0.0,seconds,0.0,0.0018004793673753738,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.25738130097837253,,2.1510571102112408e-16,0.0,seconds,0.0,0.001802263781428337,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.18622420548821933,,8.326672684688674e-17,0.0,seconds,0.0,0.00162501260638237,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.26157273426170086,,3.122502256758253e-17,0.0,seconds,0.0,0.0017281221225857735,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.25862258249755943,,5.898059818321144e-17,0.0,seconds,0.0,0.0016617802903056145,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.027866495813905254,,4.163336342344337e-17,0.0,seconds,0.0,0.001684059388935566,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.03538441390752698,,2.7755575615628914e-17,0.0,seconds,0.0,0.0016191573813557625,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.12497310125167034,,6.938893903907228e-17,0.0,seconds,0.0,0.0017577651888132095,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.07871989252322316,,1.97758476261356e-16,0.0,seconds,0.0,0.001697600819170475,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.1901351036594314,,2.7755575615628914e-17,0.0,seconds,0.0,0.0017298385500907898,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.07705197991838196,,2.7755575615628914e-17,0.0,seconds,0.0,0.0017113257199525833,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.06569617631981074,,9.71445146547012e-17,0.0,seconds,0.0,0.00169351976364851,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.13225868532572346,,1.3877787807814457e-17,0.0,seconds,0.0,0.0017355429008603096,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.2288305750231271,,5.551115123125783e-17,0.0,seconds,0.0,0.0016933148726820946,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.10824158819638571,,2.3592239273284576e-16,0.0,seconds,0.0,0.0017092088237404823,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.2681079354792782,,3.469446951953614e-17,0.0,seconds,0.0,0.001606212928891182,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.02873455044943925,,5.551115123125783e-17,0.0,seconds,0.0,0.001605842262506485,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-32p,32,32,0.6017666641889613,,1.3877787807814457e-16,0.0,seconds,0.0,0.001752958633005619,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-64p,64,64,0.18543884600520086,,1.2836953722228372e-16,0.0,seconds,0.0,0.002329273149371147,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-64p,64,64,0.018203768984529665,,1.3877787807814457e-17,0.0,seconds,0.0,0.0020706290379166603,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-64p,64,64,0.36457147279043167,,2.3592239273284576e-16,0.0,seconds,0.0,0.0021820245310664177,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-cauchy-vs-gaussian-64p,64,64,0.4553605382899849,,4.85722573273506e-17,0.0,seconds,0.0,0.0021613724529743195,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
