dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
1D-cauchy-32p,32,32,0.31664935030174407,11,1.2760791836176963e-11,3.6139250251991517,seconds,0.0,0.002948918379843235,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,1000000
1D-cauchy-32p,32,32,0.33541120614303344,11,4.472941703814458e-14,1.437060584225983,seconds,0.0,0.0029692621901631355,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,1000000
1D-cauchy-32p,32,32,0.2678442151509463,11,3.659045625182809e-11,2.6105685696950696,seconds,0.0,0.0028925221413373947,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,1000000
1D-cauchy-32p,32,32,0.4839974965818123,11,1.0570701849533893e-12,0.5606809674630443,seconds,0.0,0.0028997547924518585,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,1000000
1D-cauchy-32p,32,32,0.5896481585493434,11,1.2882035154414323e-16,0.20425533214828467,seconds,0.0,0.002925679087638855,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,1000000
1D-cauchy-32p,32,32,0.35009037522412856,11,4.11144102562563e-16,0.8537348496347921,seconds,0.0,0.002956855110824108,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,1000000
1D-cauchy-32p,32,32,0.2228033262413529,11,9.846499794725105e-13,38.10113840933653,seconds,0.0,0.0028792712837457657,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,1000000
1D-cauchy-32p,32,32,0.23711780935903162,11,5.252641549644042e-12,47.745751208818575,seconds,0.0,0.0028250552713871002,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,1000000
1D-cauchy-32p,32,32,0.4049678838400296,11,1.0236660041497064e-16,0.4910165153728799,seconds,0.0,0.002806352451443672,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,1000000
1D-cauchy-32p,32,32,0.22158209473631324,11,6.677732959296684e-14,3.2782739929310827,seconds,0.0,0.002773731015622616,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,1000000
1D-cauchy-32p,32,32,0.4271352432989418,11,4.673108536257589e-11,1.3415375784713592,seconds,0.0,0.0026970263570547104,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,1000000
1D-cauchy-32p,32,32,1.107035593814433,11,1.2101080563684e-16,0.10656551998705159,seconds,0.0,0.0028510084375739098,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,1000000
1D-cauchy-32p,32,32,1.4112314204296228,11,2.270315538423096e-15,0.11070747877273078,seconds,0.0,0.002816435880959034,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,1000000
1D-cauchy-32p,32,32,0.21713518008199845,11,1.2336829908453668e-14,2.1125014455076707,seconds,0.0,0.0028766216710209846,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,1000000
1D-cauchy-32p,32,32,0.5192574207845452,11,5.979545859615568e-14,0.6149952671344645,seconds,0.0,0.0028243372216820717,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,1000000
1D-cauchy-32p,32,32,0.5260422498166062,11,8.296739875143193e-15,0.4038275192621518,seconds,0.0,0.00284622423350811,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,1000000
1D-cauchy-32p,32,32,0.31322413647239944,11,1.224573968433643e-13,1.5222113910567188,seconds,0.0,0.0030836956575512886,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn,1.0,1000000
