dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
1D-gaussian-1c-32p,32,32,0.5227963188823042,3971,9.049608081457036e-07,seconds,0.28971004486083984,0.14935566298663616,megabytes,2124.0,2124.0,79.0,79.0,0.26651852800000003,0.26651852800000003,0.31640625,0.31640625,success,sinkhorn-normed,1e-05,1000000
1D-gaussian-1c-32p,32,32,0.06555850888286043,1631,9.147296041687154e-07,seconds,0.28281569480895996,0.06315820477902889,megabytes,2124.0,2124.0,78.75,78.75,0.266358784,0.266358784,0.0640625,0.0640625,success,sinkhorn-normed,1e-05,1000000
1D-gaussian-1c-32p,32,32,1.2434880991941508,3441,6.48742805410841e-07,seconds,0.28792810440063477,0.12993406504392624,megabytes,2124.0,2124.0,76.25,76.25,0.266502144,0.266502144,0.33671875,0.33671875,success,sinkhorn-normed,1e-05,1000000
1D-gaussian-1c-32p,32,32,0.30260802734696196,2131,3.4678333385322365e-07,seconds,0.2854890823364258,0.08172931708395481,megabytes,2124.0,2124.0,75.0,75.0,0.266575872,0.266575872,0.12734375,0.12734375,success,sinkhorn-normed,1e-05,1000000
1D-gaussian-1c-32p,32,32,0.025457488278120034,1741,4.1820036643858024e-07,seconds,0.320159912109375,0.06701492890715599,megabytes,2124.0,2124.0,75.5,75.5,0.266809344,0.266809344,0.0296875,0.0296875,success,sinkhorn-normed,1e-05,1000000
1D-gaussian-1c-32p,32,32,0.36951761325359567,2471,5.249197709122098e-07,seconds,0.30106377601623535,0.09393763355910778,megabytes,2124.0,2124.0,75.0,75.0,0.266203136,0.266203136,0.153125,0.153125,success,sinkhorn-normed,1e-05,1000000
1D-gaussian-1c-32p,32,32,0.06359676523789615,1321,7.734654567682478e-07,seconds,0.29441165924072266,0.05328787676990032,megabytes,2124.0,2124.0,75.0,75.0,0.26621542400000003,0.26621542400000003,0.03046875,0.03046875,success,sinkhorn-normed,1e-05,1000000
1D-gaussian-1c-32p,32,32,0.08237252366077166,2051,5.614301807764584e-07,seconds,0.29494786262512207,0.07863970100879669,megabytes,2124.0,2124.0,81.25,81.25,0.26626457600000003,0.26626457600000003,0.09609375,0.09609375,success,sinkhorn-normed,1e-05,1000000
1D-gaussian-1c-32p,32,32,0.08143336409995344,2131,9.66648460654196e-07,seconds,0.31049156188964844,0.08124774694442749,megabytes,2124.0,2124.0,81.5,81.5,0.26651852800000003,0.26651852800000003,0.0890625,0.0890625,success,sinkhorn-normed,1e-05,1000000
1D-gaussian-1c-32p,32,32,0.07258748637392463,4281,7.160566387654651e-07,seconds,0.28666162490844727,0.16054298169910908,megabytes,2124.0,2124.0,75.0,75.0,0.266555392,0.266555392,0.40546875,0.40546875,success,sinkhorn-normed,1e-05,1000000
