dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
1D-students-2df-32p,32,32,0.5253031446861256,11,1.2533302082415627e-16,68.43001505703938,seconds,0.0,0.0030719656497240067,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-students-2df-32p,32,32,0.554333035783737,11,1.2808792181056247e-16,158.30791602332025,seconds,0.0,0.0028846487402915955,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-students-2df-32p,32,32,0.5499652078337891,11,1.1548621071314795e-16,322.35356705717743,seconds,0.0,0.0029467372223734856,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-students-2df-32p,32,32,0.42037828044804515,11,1.6216707315788928e-16,8.392374140598925,seconds,0.0,0.0029426580294966698,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-students-2df-32p,32,32,0.7240724665090474,11,1.1134708804900482e-16,0.7772716560030513,seconds,0.0,0.002820824272930622,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-students-2df-32p,32,32,0.5249437210766739,11,1.2197462367390768e-16,17.54684503825996,seconds,0.0,0.0028429431840777397,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-students-2df-32p,32,32,0.5492672451685071,11,1.0115089139279589e-16,1073.6356234172872,seconds,0.0,0.0028669293969869614,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-students-2df-32p,32,32,0.5103533577480205,11,1.172447226021875e-16,47.635622798405095,seconds,0.0,0.002859407104551792,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-students-2df-32p,32,32,0.45638322735083015,11,1.1242293031246443e-16,3.038639480025154,seconds,0.0,0.0028488170355558395,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-students-2df-32p,32,32,0.5454003570785653,11,1.336525354574002e-16,7.673847690622168,seconds,0.0,0.0027214987203478813,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
