dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,cost_normed,cost_diff
1D-gaussian-1c-32p,32,32,0.5420305867661734,11,1.5899004617306588e-16,seconds,0.0,0.003568436950445175,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.08531555947089856,11,1.650144938409128e-16,seconds,0.0,0.0035065487027168274,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,1.2625518182033368,11,3.096448587347505e-16,seconds,0.0,0.0034834109246730804,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.32146773923481264,11,1.824676351427591e-16,seconds,0.0,0.0035693813115358353,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.04434148145688001,11,2.835195574206015e-16,seconds,0.0,0.0035196244716644287,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.3884114907708001,11,1.9887650071288086e-16,seconds,0.0,0.0033943448215723038,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.08311235658278686,11,2.1673809076920912e-16,seconds,0.0,0.0034188255667686462,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.1012575893784245,11,1.3212493796000584e-16,seconds,0.0,0.0034344960004091263,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.10033786549650035,11,1.031342813387832e-16,seconds,0.0,0.003408566117286682,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.09192835476345394,11,1.1284489139014484e-16,seconds,0.0,0.0033788997679948807,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.06920668389134704,11,1.2758414604713874e-16,seconds,0.0,0.003426605835556984,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.03091456447154542,11,1.091228334000837e-16,seconds,0.0,0.003406452015042305,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.14228889006661075,11,1.6910226550997825e-16,seconds,0.0,0.0035476218909025192,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.24994180353225434,11,2.0425186181004423e-16,seconds,0.0,0.003319712355732918,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.0724388255621949,11,1.9309960508371882e-16,seconds,0.0,0.0033076219260692596,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.031015737874475677,11,8.898774710127584e-17,seconds,0.0,0.003305075690150261,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.1812573713056747,11,2.1914527466062468e-16,seconds,0.0,0.0035020392388105392,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.2664515534847747,11,9.419694128666546e-17,seconds,0.0,0.0035111214965581894,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.03704100720884557,11,1.4793177408128019e-16,seconds,0.0,0.003394622355699539,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.5129758616138407,11,1.2600299096680515e-16,seconds,0.0,0.003301810473203659,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.01990790311230385,11,1.4234689683547137e-16,seconds,0.0,0.0033158324658870697,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.02876711863536175,11,1.3139364442959616e-16,seconds,0.0,0.003498971462249756,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.08922511742765839,11,1.1131972324439908e-16,seconds,0.0,0.003469593822956085,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.020630767302683345,11,1.8076603893165287e-16,seconds,0.0,0.0036028269678354263,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.10414642631337823,11,1.3197734932840133e-16,seconds,0.0,0.003488350659608841,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.4850558115574978,11,1.7577355846338733e-16,seconds,0.0,0.0034701451659202576,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.29067780516056396,11,9.85517031021809e-17,seconds,0.0,0.0035842861980199814,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.03068984549042419,11,2.4111292029964374e-16,seconds,0.0,0.003444638103246689,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.5018449645632637,11,1.384681228564811e-16,seconds,0.0,0.003538183867931366,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-32p,32,32,0.8256527720400777,11,1.1281760836853e-16,seconds,0.0,0.0036337319761514664,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.54203058647158,11,1.421071845033894e-16,seconds,0.5840601921081543,0.590586232021451,megabytes,2124.0,2124.0,75.0,75.0,0.292364288,0.292364288,0.73359375,0.544140625,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.08531555947089425,11,1.6453905899231527e-16,seconds,0.0,0.003910953179001808,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,1.2625481431312728,11,1.24902253431374e-16,seconds,0.0,0.004048360511660576,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.3214654276291379,11,2.2198027685898845e-16,seconds,0.0,0.003837844356894493,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.044341481389648996,11,1.9085996221901175e-16,seconds,0.0,0.0036663897335529327,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.3884114903134893,11,1.2301933422627746e-16,seconds,0.0,0.004007168114185333,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.08311221134701967,11,2.3312941293057247e-16,seconds,0.0,0.0037963222712278366,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.10125626763272828,11,1.8709679888064016e-16,seconds,0.0,0.0038051027804613113,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.10033752274107362,11,1.6260185735621088e-16,seconds,0.0,0.0037036966532468796,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.09192790926867093,11,1.2672245893697408e-16,seconds,0.0,0.003738660365343094,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.06920668389120957,11,2.43638857403403e-16,seconds,0.0,0.003780124709010124,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.030914564471545447,11,1.4772565856801337e-16,seconds,0.0,0.003707040101289749,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.14228887905917847,11,1.7170334546201239e-16,seconds,0.0,0.003650195896625519,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
1D-gaussian-1c-64p,64,64,0.24994180353205958,11,1.2606795157054502e-16,seconds,0.0,0.003562862053513527,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
