dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
1D-cauchy-vs-gaussian-32p,32,32,0.42083469824117403,11,1.178208043058552e-16,20.569981235211372,seconds,0.0,0.0036270394921302795,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-vs-gaussian-32p,32,32,0.720086859884516,11,2.054420935560492e-16,0.9284984414618749,seconds,0.0,0.0032963594421744347,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-vs-gaussian-32p,32,32,0.7651332278795999,11,1.278507457368642e-16,0.6448644071941787,seconds,0.0,0.003023456782102585,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-vs-gaussian-32p,32,32,0.2334619705179812,11,1.7040071354655673e-16,32.27940779371692,seconds,0.0,0.003283773548901081,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-vs-gaussian-32p,32,32,0.4299696252539246,11,1.2995672555212409e-16,6.51368211893107,seconds,0.0,0.0032221833243966103,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-vs-gaussian-32p,32,32,0.48544771361062866,11,1.503065568341039e-16,3.7523488322484817,seconds,0.0,0.003260561265051365,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-vs-gaussian-32p,32,32,0.5076105382085611,11,1.124396586706126e-16,4.851369496543003,seconds,0.0,0.0030519692227244377,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-vs-gaussian-32p,32,32,0.4925164764316478,11,1.3145324277545897e-16,6.639959726470168,seconds,0.0,0.0033008623868227005,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-vs-gaussian-32p,32,32,0.5378132512112546,11,1.7060147703981807e-16,3.619823865913888,seconds,0.0,0.0031882459297776222,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-vs-gaussian-32p,32,32,0.5499428810028888,11,1.490701893945828e-16,3.8175400811824063,seconds,0.0,0.003271745517849922,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-vs-gaussian-32p,32,32,0.46704473457250456,11,1.1483292902289115e-16,23.919112798260578,seconds,0.0,0.0029915599152445793,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-vs-gaussian-32p,32,32,0.42179478388851577,11,1.5803781767617458e-16,0.7880426586464685,seconds,0.0,0.0030112210661172867,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-vs-gaussian-32p,32,32,0.5600898433073849,11,1.5690439587957246e-16,2.1602125464237982,seconds,0.0,0.0033712899312376976,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-vs-gaussian-32p,32,32,0.6615222190906148,11,1.6304785825028366e-16,1.5702031055713788,seconds,0.0,0.003314419649541378,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
