dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
2D-cauchy-32p,1024,1024,0.9110488473138938,11,8.277510167751406e-17,seconds,0.0,0.00434446893632412,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,0.5606856240539697,11,8.457207473877111e-17,seconds,0.0,0.004042980261147022,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,0.4527578921384955,11,8.961825154469828e-17,seconds,0.0,0.004236593842506409,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,0.5227248369220956,11,8.491170871737268e-17,seconds,0.0,0.0040500834584236145,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,0.458542890802883,11,7.758095578214357e-17,seconds,0.0,0.004071667790412903,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,0.7189841438499482,11,7.403032114594218e-17,seconds,0.0,0.004094761796295643,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,1.1714487802157687,11,9.483938361348553e-17,seconds,0.0,0.004387503489851952,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,0.6669444279484515,11,9.265215295240215e-17,seconds,0.0,0.005153891630470753,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,1.9770481251184016,11,8.264115335196635e-17,seconds,0.0,0.004098253324627876,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,1.053254720581878,11,9.004374618893644e-17,seconds,0.0,0.004328286275267601,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,0.6490882721127649,11,7.341056404058168e-17,seconds,0.0,0.0041210101917386055,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,0.9633560736760427,11,7.937596212597031e-17,seconds,0.0,0.003994420170783997,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,0.6880113215906141,11,5.471834653958453e-17,seconds,0.0,0.004148595966398716,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,2.6349356893197413,11,8.07351483032838e-17,seconds,0.0,0.004089806228876114,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,0.8666914292703245,11,7.756713159310514e-17,seconds,0.0,0.004365734755992889,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,0.6987975348437417,11,9.088477540777153e-17,seconds,0.0,0.004190357401967049,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,0.47487767791565494,11,8.850908125709107e-17,seconds,0.0,0.004088269546627998,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,1.225030708172112,11,8.667330386541073e-17,seconds,0.0,0.0042535969987511635,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,0.8920790210643261,11,6.282667143750523e-17,seconds,0.0,0.004104887135326862,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,0.7650035332326581,11,8.809799988828493e-17,seconds,0.0,0.004175553098320961,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,0.8507603122923779,11,8.11754569051825e-17,seconds,0.0,0.003998043946921825,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,1.1677476039440775,11,5.623036161156327e-17,seconds,0.0,0.004207134246826172,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,1.2009832521034336,11,1.105397718790017e-16,seconds,0.0,0.004000776447355747,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,2.160247405955764,11,7.843255053668904e-17,seconds,0.0,0.004096252843737602,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-cauchy-32p,1024,1024,2.393372994835449,11,1.1532725254740395e-16,seconds,0.0,0.004096902906894684,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
