dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
2D-students-2df-32p,1024,1024,1.1807144715851023,11,4.565550116299767e-17,seconds,0.0,0.00445505790412426,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.4186685257021896,11,6.317614217942076e-17,seconds,0.0,0.004206327721476555,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.146347905877868,11,4.0335708805951095e-17,seconds,0.0,0.004306097514927387,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.3641702211901663,11,4.018914581819605e-17,seconds,0.0,0.004165131598711014,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.4608529871443068,11,4.73608375441178e-17,seconds,0.0,0.004066490568220615,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.2171135305015894,11,4.4402896137198924e-17,seconds,0.0,0.00413902010768652,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,0.8364326284363244,11,8.824171499948517e-17,seconds,0.0,0.004637951031327248,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.1158731059390359,11,4.103819800087436e-17,seconds,0.0,0.00405364204198122,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.2111768897643211,11,4.176638214981515e-17,seconds,0.0,0.0041429875418543816,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.374294875814472,11,4.3020878871805045e-17,seconds,0.0,0.004092465154826641,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.3313344127527975,11,4.7802506751727264e-17,seconds,0.0,0.004045521840453148,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.1446231937556266,11,4.5563388697055916e-17,seconds,0.0,0.004167535342276096,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.2384360969452803,11,4.4709062007410395e-17,seconds,0.0,0.004175722599029541,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.0721517045325082,11,4.051036942275068e-17,seconds,0.0,0.004150786437094212,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.1680478108691719,11,5.1888140927612176e-17,seconds,0.0,0.00405720341950655,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.078281673939988,11,4.313789618204312e-17,seconds,0.0,0.004309359937906265,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.3542417540836764,11,4.445566054836802e-17,seconds,0.0,0.004185638390481472,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.1045732249076003,11,4.2523640732350845e-17,seconds,0.0,0.004077790305018425,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,0.9594177449212427,11,4.698847816384445e-17,seconds,0.0,0.004125700332224369,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.3000688453950673,11,6.142939331971497e-17,seconds,0.0,0.00411103293299675,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.0748876927868758,11,4.071861238397087e-17,seconds,0.0,0.0040143756195902824,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.1867187685244511,11,4.9218235414067584e-17,seconds,0.0,0.004220356233417988,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.0877632215300308,11,5.841646477100076e-17,seconds,0.0,0.004286604002118111,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.3140354231801343,11,4.7160522063431837e-17,seconds,0.0,0.004121536388993263,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.2360257006487416,11,3.940370177132624e-17,seconds,0.0,0.004336833022534847,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.682008935409621,11,5.101946769326215e-17,seconds,0.0,0.004026999697089195,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.3109921688268287,11,5.382903078042696e-17,seconds,0.0,0.00422879122197628,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.0103967557531766,11,5.565385328272606e-17,seconds,0.0,0.013209757395088673,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.166088487190152,11,4.006035331242873e-17,seconds,0.0,0.004400473088026047,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.1867538314094288,11,8.421474992009934e-17,seconds,0.0,0.012194746173918247,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-students-2df-32p,1024,1024,1.6765119497125578,11,4.379388378195061e-17,seconds,0.0,0.0043493229895830154,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
