dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.01593994814902544,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.0044444240629673,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.004265792667865753,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.004140432924032211,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.004214699380099773,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.005001126788556576,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.004457633942365646,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.009184487164020538,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.005512543022632599,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.004248942248523235,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.0042666541412472725,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.00421037245541811,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.00436910055577755,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.004422477446496487,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.0041504791006445885,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.010789033956825733,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.004219658672809601,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.004214530810713768,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.0056860195472836494,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.0042432136833667755,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.004119027405977249,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.004221389070153236,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.004168408922851086,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.004213455133140087,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.004260718822479248,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.023560745641589165,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.005376769229769707,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.004328835755586624,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.004530672915279865,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.004140527918934822,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-32p,1024,1024,nan,11,nan,seconds,0.0,0.004154114052653313,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-64p,4096,4096,nan,11,nan,seconds,1.0634369850158691,1.0791456885635853,megabytes,808.0,808.0,1.0,0.2,0.064032768,0.105381888,0.75859375,0.43781250000000005,success,sinkhorn-normed,1.0,1000000
2D-exponential-64p,4096,4096,nan,11,nan,seconds,0.0,0.014739963226020336,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-64p,4096,4096,nan,11,nan,seconds,0.0,0.010390217415988445,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-64p,4096,4096,nan,11,nan,seconds,0.0,0.009972652420401573,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-64p,4096,4096,nan,11,nan,seconds,0.0,0.01006300002336502,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-64p,4096,4096,nan,11,nan,seconds,0.0,0.01004124153405428,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-64p,4096,4096,nan,11,nan,seconds,0.0,0.010022290050983429,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-64p,4096,4096,nan,11,nan,seconds,0.0,0.009983539581298828,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-64p,4096,4096,nan,11,nan,seconds,0.0,0.010049236938357353,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-64p,4096,4096,nan,11,nan,seconds,0.0,0.010093600489199162,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-64p,4096,4096,nan,11,nan,seconds,0.0,0.009930038824677467,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-64p,4096,4096,nan,11,nan,seconds,0.0,0.009983756579458714,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-64p,4096,4096,nan,11,nan,seconds,0.0,0.0099628996104002,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-64p,4096,4096,nan,11,nan,seconds,0.0,0.0192226804792881,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-64p,4096,4096,nan,11,nan,seconds,0.0,0.015460398979485035,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-64p,4096,4096,nan,11,nan,seconds,0.0,0.010299167595803738,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-exponential-64p,4096,4096,nan,11,nan,seconds,0.0,0.00993794109672308,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
