dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
2D-gaussian-1c-32p,1024,1024,1.2135203345900079,11,4.008488395665341e-17,seconds,0.0,0.01424806471914053,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.0160315803338802,11,6.249771877603602e-17,seconds,0.0,0.004329976625740528,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.1883430235816772,11,3.9721326545121816e-17,seconds,0.0,0.004374031908810139,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.1781534218271972,11,3.893191712327773e-17,seconds,0.0,0.004128647036850452,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.183634294896909,11,4.1513830770145867e-17,seconds,0.0,0.004244509153068066,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.2104688184105048,11,4.2498324446677856e-17,seconds,0.0,0.00438598170876503,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,0.7602518253868469,11,9.215337066085446e-17,seconds,0.0,0.004152756184339523,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.1531954518286434,11,4.205237147217195e-17,seconds,0.0,0.004560856148600578,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.2442887087284957,11,3.9444848557091555e-17,seconds,0.0,0.004168120212852955,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.174889059020174,11,4.05654644901406e-17,seconds,0.0,0.004196079447865486,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.1943110962578511,11,4.303423131218275e-17,seconds,0.0,0.004234204068779945,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.176756312823119,11,4.312806814259363e-17,seconds,0.0,0.00889671966433525,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.2251850787475427,11,4.136067872943221e-17,seconds,0.0,0.004791766405105591,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.0970219867319604,11,4.106708237763857e-17,seconds,0.0,0.004145314916968346,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.1453077723389171,11,4.577659470836566e-17,seconds,0.0,0.004165167920291424,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.113742273075139,11,4.038696751420407e-17,seconds,0.0,0.004154498688876629,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.2192047063157565,11,4.14928629873756e-17,seconds,0.0,0.004253012128174305,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.1503423898036353,11,3.907665280104495e-17,seconds,0.0,0.00428104680031538,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.0436256392003813,11,4.1903914290850905e-17,seconds,0.0,0.004283331334590912,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.1530601863550953,11,5.668122696238589e-17,seconds,0.0,0.009262568317353725,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.1075347337787513,11,4.0808655413979905e-17,seconds,0.0,0.004187965765595436,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.1313613692709674,11,4.243315947185219e-17,seconds,0.0,0.004227429628372192,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.1290448689900856,11,5.572835569537694e-17,seconds,0.0,0.004195553250610828,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.227137189155565,11,4.409211976833784e-17,seconds,0.0,0.004206890240311623,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.2618931623432188,11,3.9263240650586763e-17,seconds,0.0,0.004158508963882923,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.246667703300941,11,4.6913024383758586e-17,seconds,0.0,0.004064805805683136,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.2070076255165738,11,4.427292642545825e-17,seconds,0.0,0.004318772815167904,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,0.9666363597732412,11,5.481943759602369e-17,seconds,0.0,0.0040922872722148895,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.1104567029967642,11,3.9098230503781675e-17,seconds,0.0,0.0107447924092412,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.0507889445440168,11,7.662414410232424e-17,seconds,0.0,0.026155732572078705,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-32p,1024,1024,1.3087156978370258,11,4.055640794414113e-17,seconds,0.0,0.015948615968227386,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-64p,4096,4096,1.1814623088258385,11,3.05529093180524e-17,seconds,1.2530121803283691,1.0997375631704926,megabytes,808.0,808.0,3.0,0.5,0.059355136,0.09814425600000001,0.76328125,0.3774739583333333,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-64p,4096,4096,0.994973844097674,11,3.263252823343927e-17,seconds,0.0,0.020258242264389992,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-64p,4096,4096,1.15732162696282,11,2.743347525259212e-17,seconds,0.21926403045654297,0.03712646383792162,megabytes,680.0,680.0,1.0,1.0,0.031244288000000002,0.031244288000000002,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-64p,4096,4096,1.1480948243956774,11,2.7631831481203544e-17,seconds,0.0,0.00955157820135355,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-64p,4096,4096,1.153232046360677,11,2.8383353708828793e-17,seconds,0.0,0.009643920697271824,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-64p,4096,4096,1.178126585035279,11,3.135386255779211e-17,seconds,0.0,0.009724217467010021,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-64p,4096,4096,0.740016783855786,11,4.276034964338788e-17,seconds,0.0,0.009937574155628681,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-64p,4096,4096,1.1234601525499035,11,2.8205905538886456e-17,seconds,0.0,0.009544039145112038,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-64p,4096,4096,1.2106981575567728,11,2.9793966444486785e-17,seconds,0.0,0.009704988449811935,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-64p,4096,4096,1.144452662271973,11,2.7589347245282535e-17,seconds,0.0,0.009776531718671322,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-64p,4096,4096,1.163274865136029,11,2.867984054829607e-17,seconds,0.2330150604248047,0.01853635162115097,megabytes,680.0,680.0,5.0,5.0,0.030883840000000003,0.030883840000000003,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-1c-64p,4096,4096,1.1464646681570834,11,3.035834014997996e-17,seconds,0.0,0.00957763846963644,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
