dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
2D-gaussian-2c-32p,1024,1024,1.1103470328635308,11,4.8213088214557176e-17,seconds,0.0,0.004463636316359043,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-2c-32p,1024,1024,1.1954221361111161,11,3.970271525170589e-17,seconds,0.0,0.025092780590057373,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-2c-32p,1024,1024,1.1427674375194106,11,4.3792038388658714e-17,seconds,0.0,0.00442949403077364,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-2c-32p,1024,1024,1.1016471927268894,11,4.167752688520021e-17,seconds,0.21199846267700195,0.01868052687495947,megabytes,560.0,560.0,0.0,0.0,0.038293504,0.038293504,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-2c-32p,1024,1024,1.1234678453029292,11,4.322616300202706e-17,seconds,0.0,0.004292918369174004,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-2c-32p,1024,1024,1.1163840950482635,11,3.835119028895154e-17,seconds,0.0,0.0043927328661084175,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-2c-32p,1024,1024,1.0339556061033486,11,4.490635810186847e-17,seconds,0.0,0.004283693619072437,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-2c-32p,1024,1024,1.0501869498751448,11,5.2263003583110466e-17,seconds,0.0,0.019827498123049736,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-2c-32p,1024,1024,1.1361217566270698,11,4.6680520560485236e-17,seconds,0.0,0.004377462901175022,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
2D-gaussian-2c-32p,1024,1024,1.212677461849313,11,3.9544630069254046e-17,seconds,0.0,0.00426584854722023,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
