dataset,mu_size,nu_size,cost,iterations,error,marginal_error,marginal_error_mu_to_nu,marginal_error_nu_to_mu,rho_mu_push,tv_mu_to_nu,ma_residual_L1,ma_residual_L1_rel,ma_residual_L2,detJ_min,detJ_max,detJ_neg_frac,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,maxiter,tol
2D-gaussian-2c-32p,1024,1024,0.6541825512769633,1,4.658677134859767e-14,0.0366551885394797,0.0023648508735148173,0.002370641905210713,"[[0.00037986 0.00038685 0.00039337 ... 0.00197925 0.00209484 0.0021174 ]
 [0.00038305 0.00039016 0.00039675 ... 0.00207261 0.00214453 0.00211762]
 [0.00038626 0.00039343 0.00040002 ... 0.00214664 0.00217105 0.00209447]
 ...
 [0.00034332 0.00035056 0.00035805 ... 0.00033726 0.00030844 0.00028896]
 [0.0003375  0.00034488 0.00035282 ... 0.00032166 0.00029811 0.00028166]
 [0.00033197 0.00033961 0.00034824 ... 0.00030892 0.00028946 0.0002753 ]]",0.0018883771461561019,0.0024374211291824524,0.5855904262860853,0.0015059711700987715,0.9979838284689275,1.0030174816032444,0.0,seconds,0.24661755561828613,0.23201683163642883,megabytes,632.0,632.0,3.0,3.0,0.177098752,0.177098752,0.68046875,0.68046875,success,back-and-forth,100000,1e-10
2D-gaussian-2c-32p,1024,1024,0.6417102796659344,1,1.6334642537638565e-15,0.006218936986604838,0.00040122174107127954,0.000402001127115865,"[[0.00091578 0.00096864 0.00101848 ... 0.00042392 0.00037891 0.00033688]
 [0.00090997 0.00096378 0.00101471 ... 0.00043961 0.00039365 0.00035064]
 [0.00090375 0.00095845 0.0010104  ... 0.00045545 0.0004086  0.00036464]
 ...
 [0.00056842 0.00061811 0.00066838 ... 0.00076987 0.00072628 0.00068247]
 [0.0005541  0.00060288 0.00065228 ... 0.00077181 0.00072939 0.00068664]
 [0.00053989 0.00058774 0.00063626 ... 0.00077318 0.00073197 0.00069032]]",0.0003391534916121256,0.0008990095578905942,0.21598704628321563,0.0005833933362951778,0.9996533873209764,1.000470461028907,0.0,seconds,0.4791121482849121,0.33269078843295574,megabytes,632.0,632.0,3.0,1.5,0.1885184,0.1885184,0.68125,0.383984375,success,back-and-forth,100000,1e-10
2D-gaussian-2c-32p,1024,1024,0.5836415334472533,1,3.4962609629515976e-14,0.01801721966545691,0.0011624012687391544,0.001165303716693916,"[[0.00103839 0.00107354 0.00110451 ... 0.0002695  0.00023367 0.00020125]
 [0.0011246  0.0011657  0.00120232 ... 0.00030553 0.00026538 0.00022899]
 [0.00120322 0.00125082 0.0012937  ... 0.00034615 0.00030133 0.00026062]
 ...
 [0.00031326 0.00034433 0.00037564 ... 0.00024275 0.00021931 0.00019743]
 [0.00030331 0.00033322 0.0003633  ... 0.00022074 0.00019836 0.00017758]
 [0.00029407 0.00032292 0.00035189 ... 0.00020218 0.00018071 0.00016086]]",0.0010091876234681147,0.002431231942237612,0.5841034741225875,0.0013929272594892243,0.9989747585095589,1.0011466601708308,0.0,seconds,0.24863433837890625,0.25009043142199516,megabytes,632.0,632.0,3.0,3.0,0.173883392,0.173883392,0.76875,0.76875,success,back-and-forth,100000,1e-10
2D-gaussian-2c-32p,1024,1024,0.6204272419112731,1,6.019531863861898e-15,0.010116238221979842,0.0006526605304503118,0.000654081570611322,"[[0.00032773 0.00034642 0.0003656  ... 0.00063672 0.00062972 0.0006219 ]
 [0.0003548  0.00037455 0.00039481 ... 0.00068436 0.00067723 0.00066923]
 [0.00038553 0.0004064  0.00042782 ... 0.00073528 0.00072791 0.00071964]
 ...
 [0.00069722 0.00071011 0.00072286 ... 0.00069024 0.00067183 0.00065279]
 [0.00064275 0.00065459 0.00066633 ... 0.00063944 0.00062235 0.00060464]
 [0.00058877 0.0005997  0.00061056 ... 0.0005922  0.00057641 0.00056003]]",0.000553691256963427,0.0028869800080095448,0.6935969469242944,0.001489664454284653,0.9994471333542914,1.0006638594211583,0.0,seconds,0.3280916213989258,0.3077882882207632,megabytes,632.0,632.0,3.0,3.0,0.17797939200000001,0.17797939200000001,0.5140625,0.5140625,success,back-and-forth,100000,1e-10
2D-gaussian-2c-32p,1024,1024,0.6457411810396909,1,2.849726402275445e-14,0.016894418580276672,0.001089962489050107,0.0010925744439937851,"[[0.00025961 0.00026609 0.00027322 ... 0.00141072 0.0013715  0.00131794]
 [0.00026493 0.00027173 0.00027927 ... 0.00141971 0.00137513 0.00131672]
 [0.00027012 0.00027726 0.00028525 ... 0.00142599 0.00137618 0.00131314]
 ...
 [0.00036805 0.00039962 0.0004374  ... 0.00081217 0.00073123 0.00065696]
 [0.00037108 0.0004041  0.00044352 ... 0.00077811 0.00070004 0.00062888]
 [0.0003744  0.00040894 0.00045004 ... 0.00074538 0.00067022 0.00060216]]",0.0009265090911826337,0.00389298610920739,0.9352899127370771,0.0020951695506976104,0.9986817633674154,1.000825060418672,0.0,seconds,0.2387697696685791,0.24695293977856636,megabytes,632.0,632.0,0.0,0.0,0.1752064,0.1752064,0.70625,0.70625,success,back-and-forth,100000,1e-10
2D-gaussian-2c-32p,1024,1024,0.6557948856937934,1,2.7522577138828837e-14,0.02693161507033643,0.0017375235529249295,0.0017417030589577597,"[[0.00076354 0.00079027 0.0008147  ... 0.00056483 0.00054462 0.00052539]
 [0.00078254 0.00081021 0.00083554 ... 0.0005866  0.00056553 0.00054541]
 [0.00080208 0.00083041 0.00085677 ... 0.00060789 0.0005859  0.00056487]
 ...
 [0.00098366 0.00100863 0.00103212 ... 0.0006077  0.00057192 0.00053731]
 [0.00096442 0.00098846 0.00101108 ... 0.00058879 0.0005535  0.00051939]
 [0.00094427 0.00096741 0.00098919 ... 0.00057062 0.00053584 0.00050222]]",0.0015414649112019808,0.006418820006665054,1.5421215066012823,0.0031310411097335194,0.9990952501234526,1.0019952643074665,0.0,seconds,0.2484114170074463,0.24680683575570583,megabytes,634.0,634.0,0.0,0.0,0.175890432,0.175890432,0.7296875,0.7296875,success,back-and-forth,100000,1e-10
2D-gaussian-2c-32p,1024,1024,0.5887195936230178,1,1.9692067297361948e-14,0.0184069686144037,0.0011875463622195925,0.0011900921970515604,"[[5.91102167e-06 7.49269662e-06 9.45386746e-06 ... 7.25228140e-04
  7.54321360e-04 7.76372450e-04]
 [8.00684488e-06 1.01082092e-05 1.27030637e-05 ... 8.00106294e-04
  8.23753626e-04 8.39285378e-04]
 [1.07424223e-05 1.35073383e-05 1.69075299e-05 ... 8.75305382e-04
  8.92280884e-04 9.00209481e-04]
 ...
 [9.14423088e-04 1.01924985e-03 1.12491827e-03 ... 4.37812557e-04
  3.81915598e-04 3.31361348e-04]
 [9.54609188e-04 1.05678726e-03 1.15808081e-03 ... 3.78823279e-04
  3.29228524e-04 2.84589228e-04]
 [9.89915529e-04 1.08804260e-03 1.18349631e-03 ... 3.24826792e-04
  2.81244771e-04 2.42199900e-04]]",0.001005256792696871,0.0032742155223602497,0.7866302792470515,0.001940026424824221,0.9988131989485859,1.001178784918774,0.0,seconds,0.27268457412719727,0.248658349737525,megabytes,632.0,632.0,3.0,3.0,0.171798528,0.171798528,0.67109375,0.67109375,success,back-and-forth,100000,1e-10
2D-gaussian-2c-32p,1024,1024,0.4899445796800274,1,2.549307038940515e-14,0.029197171753334087,0.0018836885002151008,0.0018883983926444477,"[[5.61379235e-05 3.97136708e-05 2.76668605e-05 ... 1.69313286e-04
  1.94790458e-04 2.22297401e-04]
 [1.27012486e-04 9.35646170e-05 6.78401208e-05 ... 2.06530105e-04
  2.34859435e-04 2.64924400e-04]
 [2.60475110e-04 1.99830524e-04 1.50856495e-04 ... 2.47913341e-04
  2.78660334e-04 3.10697483e-04]
 ...
 [4.79157447e-04 5.07113636e-04 5.32126305e-04 ... 1.53680257e-04
  1.69975257e-04 1.95675598e-04]
 [5.09916041e-04 5.33410948e-04 5.53245204e-04 ... 8.88156833e-05
  9.28578771e-05 1.03089974e-04]
 [5.33836196e-04 5.51965895e-04 5.65870315e-04 ... 5.36507583e-05
  5.18908225e-05 5.38853474e-05]]",0.0015736535430597234,0.0038314569846184987,0.9205075405545959,0.0020490914201922407,0.9979423920575802,1.0011943894004718,0.0,seconds,0.24621272087097168,0.2461297232657671,megabytes,634.0,634.0,3.0,3.0,0.17458790400000002,0.17458790400000002,0.75859375,0.75859375,success,back-and-forth,100000,1e-10
2D-gaussian-2c-32p,1024,1024,0.592010231492188,1,2.5545341304559823e-14,0.017449492342354062,0.0011257736995067126,0.0011283118017234935,"[[5.26112877e-04 5.44240721e-04 5.62950096e-04 ... 5.84869768e-04
  5.53943114e-04 5.22384523e-04]
 [6.54051665e-04 6.74082242e-04 6.94516196e-04 ... 6.83375071e-04
  6.48835295e-04 6.13600735e-04]
 [7.98378685e-04 8.20784590e-04 8.43390079e-04 ... 7.98457536e-04
  7.59834115e-04 7.20436524e-04]
 ...
 [5.45567163e-05 6.40468425e-05 7.47634945e-05 ... 3.85151521e-04
  3.70843114e-04 3.54783765e-04]
 [5.12174628e-05 6.04278735e-05 7.08510623e-05 ... 3.81893024e-04
  3.67975509e-04 3.52282622e-04]
 [4.87582478e-05 5.77234687e-05 6.78868070e-05 ... 3.79686492e-04
  3.66146089e-04 3.50805881e-04]]",0.0009928196458926471,0.002465401191167967,0.5923126361781051,0.001376202917017852,0.9990566831335613,1.0009316588630814,0.0,seconds,0.30118298530578613,0.2625102140009403,megabytes,634.0,634.0,3.0,3.0,0.166723584,0.166723584,0.59375,0.59375,success,back-and-forth,100000,1e-10
2D-gaussian-2c-32p,1024,1024,0.6545563246487289,1,3.753397605605431e-15,0.007335906735849435,0.0004732843055386728,0.0004741813274196323,"[[0.00034655 0.00035832 0.00037027 ... 0.00063615 0.00063887 0.0006413 ]
 [0.00038111 0.00039382 0.00040669 ... 0.00067873 0.00068069 0.00068233]
 [0.00041753 0.00043118 0.00044497 ... 0.00072134 0.00072245 0.0007232 ]
 ...
 [0.00105889 0.0010697  0.00107932 ... 0.00084867 0.00082674 0.0008048 ]
 [0.00103482 0.00104443 0.00105284 ... 0.00080994 0.00078853 0.00076717]
 [0.00100735 0.00101577 0.001023   ... 0.00077024 0.00074947 0.00072877]]",0.00038132279581791885,0.0008127336754574832,0.19525926552866069,0.0005552026646016131,0.9995724182554196,1.0005429981641878,0.0,seconds,0.2511756420135498,0.25578758865594864,megabytes,634.0,634.0,3.0,3.0,0.17195008,0.17195008,0.76484375,0.76484375,success,back-and-forth,100000,1e-10
2D-gaussian-2c-32p,1024,1024,0.6114841923243393,1,2.3081489140544356e-14,0.018782479996127116,0.001211772902975942,0.0012144409292999848,"[[0.00014246 0.00015421 0.00016651 ... 0.00047821 0.00047885 0.00047846]
 [0.00015907 0.00017178 0.00018503 ... 0.00049805 0.00049757 0.00049603]
 [0.00017687 0.00019055 0.00020475 ... 0.00051683 0.00051522 0.00051255]
 ...
 [0.0015796  0.00154812 0.00151256 ... 0.00030281 0.00027795 0.00025477]
 [0.00138627 0.00134771 0.00130683 ... 0.00025679 0.00023639 0.00021726]
 [0.00118635 0.00114661 0.00110598 ... 0.00022262 0.00020533 0.00018903]]",0.001099903885769514,0.00224661114061776,0.5397483265334178,0.001213144754029631,0.9989253382189175,1.0008056523436422,0.0,seconds,0.45131564140319824,0.3289070650935173,megabytes,634.0,634.0,3.0,1.5,0.18861670400000002,0.18861670400000002,0.59765625,0.398828125,success,back-and-forth,100000,1e-10
2D-gaussian-2c-32p,1024,1024,0.6282882054721577,1,4.5689447355316164e-14,0.019825154241916523,0.0012790422091559035,0.001282436676018829,"[[0.00042134 0.00042668 0.00043192 ... 0.00040499 0.00039721 0.00038925]
 [0.00045334 0.00045799 0.00046255 ... 0.0004182  0.00040986 0.00040136]
 [0.00048982 0.00049356 0.00049723 ... 0.00043113 0.00042217 0.00041309]
 ...
 [0.00062614 0.00064672 0.00066754 ... 0.0011143  0.00111746 0.00111916]
 [0.00055231 0.00056983 0.00058761 ... 0.00101757 0.00102387 0.00102897]
 [0.00048715 0.00050174 0.00051658 ... 0.0009155  0.00092405 0.00093166]]",0.0011970073154155664,0.0033434367043389383,0.8032606682174314,0.0017831750128292486,0.9991311372440869,1.001064645445631,0.0,seconds,0.30463194847106934,0.26350290700793266,megabytes,634.0,634.0,3.0,3.0,0.1758208,0.1758208,0.59453125,0.59453125,success,back-and-forth,100000,1e-10
2D-gaussian-2c-32p,1024,1024,0.6005799384231634,1,6.404588548082989e-15,0.01242118903617743,0.0008013670345920915,0.0008031546490601021,"[[0.0003461  0.00034793 0.0003499  ... 0.00064597 0.00067023 0.00069558]
 [0.00035908 0.00036178 0.00036473 ... 0.00073593 0.00076179 0.00078835]
 [0.00037315 0.00037699 0.00038121 ... 0.00083138 0.00085781 0.00088445]
 ...
 [0.00110246 0.00107774 0.00105103 ... 0.00035233 0.00034116 0.00033091]
 [0.00100692 0.00097963 0.000951   ... 0.00033144 0.00032233 0.00031393]
 [0.00090893 0.00088052 0.00085142 ... 0.00031369 0.00030623 0.00029931]]",0.0006775028775510897,0.0030286832597473433,0.7276411531543006,0.0016711165142986734,0.9990953373201368,1.00087341932197,0.0,seconds,0.23707008361816406,0.24010650254786015,megabytes,634.0,634.0,0.0,0.0,0.177946624,0.177946624,0.721875,0.721875,success,back-and-forth,100000,1e-10
2D-gaussian-2c-32p,1024,1024,0.6758374388154003,1,1.2065985146474062e-15,0.004430605534121796,0.0002858455183304382,0.000286386414514466,"[[0.00074891 0.00076119 0.00077316 ... 0.00090168 0.00089767 0.00089343]
 [0.00077066 0.00078331 0.00079563 ... 0.00092735 0.00092318 0.00091877]
 [0.0007916  0.0008046  0.00081727 ... 0.00095181 0.00094748 0.0009429 ]
 ...
 [0.00074709 0.00075839 0.00076927 ... 0.00084889 0.00084294 0.0008368 ]
 [0.00072327 0.00073414 0.00074461 ... 0.00081934 0.00081351 0.00080749]
 [0.00069887 0.00070931 0.00071936 ... 0.00078927 0.00078356 0.00077767]]",0.00024206770177152408,0.001307986896894042,0.3142438519787942,0.000664139797415635,0.9996327312273883,1.0002199327352006,0.0,seconds,0.2593352794647217,0.24658549204468727,megabytes,634.0,634.0,3.0,3.0,0.176218112,0.176218112,0.65546875,0.65546875,success,back-and-forth,100000,1e-10
2D-gaussian-2c-32p,1024,1024,0.5943507849975604,1,3.761477680740773e-14,0.0637791314205258,0.004114782672291983,0.004123298800409047,"[[0.00049082 0.00055926 0.00063882 ... 0.00032293 0.00029847 0.00027839]
 [0.00047613 0.00054106 0.00061733 ... 0.00034028 0.00031281 0.0002904 ]
 [0.0004627  0.00052405 0.00059679 ... 0.00035955 0.00032868 0.00030363]
 ...
 [0.00024317 0.00025289 0.00026301 ... 0.00132601 0.00122607 0.00111564]
 [0.00023559 0.00024445 0.00025438 ... 0.00133211 0.00124095 0.00113716]
 [0.00022824 0.00023721 0.00024652 ... 0.00133308 0.00125149 0.00115525]]",0.00218841360086111,0.002051943363326834,0.49297939303927274,0.0012192615115791802,0.9987244874990422,1.007367230327716,0.0,seconds,0.3467748165130615,0.24485220946371555,megabytes,634.0,634.0,3.0,3.0,0.175366144,0.175366144,0.47890625,0.47890625,success,back-and-forth,100000,1e-10
2D-gaussian-2c-32p,1024,1024,0.5791282255255235,1,1.2776206931000418e-15,0.006150726026665102,0.00039682103397839334,0.0003976802273338545,"[[8.82776381e-04 8.69341152e-04 8.50052183e-04 ... 1.18904226e-04
  1.07896460e-04 9.76255367e-05]
 [9.44439526e-04 9.38647622e-04 9.26119698e-04 ... 1.43368893e-04
  1.30304612e-04 1.18106477e-04]
 [9.98690886e-04 1.00164207e-03 9.97146223e-04 ... 1.71510820e-04
  1.56114181e-04 1.41731141e-04]
 ...
 [1.45521177e-04 1.65019730e-04 1.86655837e-04 ... 1.18064531e-03
  1.16125502e-03 1.13425094e-03]
 [1.23029546e-04 1.39650219e-04 1.58106813e-04 ... 1.11966899e-03
  1.10883516e-03 1.09038639e-03]
 [1.03300913e-04 1.17382131e-04 1.33028615e-04 ... 1.05056401e-03
  1.04774877e-03 1.03754411e-03]]",0.00035464009349081186,0.0020996903969018217,0.5044506178556636,0.001283695845422096,0.9997251799384347,1.000346363895207,0.0,seconds,0.2601594924926758,0.25835948809981346,megabytes,634.0,634.0,3.0,3.0,0.175292416,0.175292416,0.73671875,0.73671875,success,back-and-forth,100000,1e-10
2D-gaussian-2c-32p,1024,1024,0.6220538221990767,1,9.173127482488932e-14,0.029248026847369955,0.0018869694740238664,0.0018920636324826921,"[[0.00038269 0.00039667 0.00040967 ... 0.00032915 0.00025521 0.00020924]
 [0.00038815 0.00040294 0.00041675 ... 0.00035568 0.00027477 0.00022443]
 [0.00039257 0.00040816 0.00042279 ... 0.00038353 0.00029523 0.0002402 ]
 ...
 [0.00017791 0.00019277 0.00020807 ... 0.00125229 0.00093797 0.00069403]
 [0.00016588 0.00018001 0.0001946  ... 0.00126618 0.00095129 0.0007036 ]
 [0.00015427 0.00016766 0.00018153 ... 0.00127707 0.00096274 0.00071202]]",0.0016748310791483434,0.0038222482670686375,0.9182951461632418,0.002002965092115033,0.9981044206016566,1.001195791701769,0.0,seconds,0.24112343788146973,0.24355768784880638,megabytes,634.0,634.0,0.0,0.0,0.176889856,0.176889856,0.71328125,0.71328125,success,back-and-forth,100000,1e-10
2D-gaussian-2c-32p,1024,1024,0.490846198983592,1,1.2834547290989217e-14,0.020594839646286632,0.0013286993320184913,0.0013316675752403618,"[[2.86870767e-06 2.98525295e-06 3.30695053e-06 ... 4.74411925e-04
  5.19801480e-04 5.65835994e-04]
 [6.30595708e-06 6.37444974e-06 6.81418188e-06 ... 6.07672428e-04
  6.56688963e-04 7.05043086e-04]
 [1.33112724e-05 1.31722016e-05 1.36748821e-05 ... 7.53007426e-04
  8.02602096e-04 8.49877569e-04]
 ...
 [2.22271437e-04 2.04402663e-04 1.86835895e-04 ... 3.09939449e-04
  3.39078802e-04 3.69519684e-04]
 [1.60256101e-04 1.45134608e-04 1.30577754e-04 ... 1.96257955e-04
  2.18204102e-04 2.41656084e-04]
 [1.11998027e-04 9.99410722e-05 8.85640689e-05 ... 1.16852826e-04
  1.32030087e-04 1.48591492e-04]]",0.0011930068961624601,0.002889733124076737,0.6942583830594373,0.001648656498917788,0.998661012174184,1.0010751843404195,0.0,seconds,0.24327421188354492,0.22987313196063042,megabytes,634.0,634.0,0.0,0.0,0.178884608,0.178884608,0.684375,0.684375,success,back-and-forth,100000,1e-10
2D-gaussian-2c-32p,1024,1024,0.6756239072437156,1,3.410489182385073e-15,0.0066550138984941,0.00042935573538671574,0.00043016777143126583,"[[0.00085538 0.00087126 0.00088697 ... 0.00086897 0.00085277 0.00083583]
 [0.00086903 0.00088536 0.00090152 ... 0.0008838  0.00086715 0.00084975]
 [0.00088188 0.00089865 0.00091525 ... 0.00089776 0.00088068 0.00086283]
 ...
 [0.00077533 0.00079089 0.00080604 ... 0.00077605 0.00075939 0.00074209]
 [0.00075809 0.00077313 0.00078775 ... 0.0007556  0.00073933 0.00072245]
 [0.00074042 0.0007549  0.00076899 ... 0.00073465 0.00071879 0.00070233]]",0.00036650714870665806,0.0013667945999844891,0.32837240264627415,0.000685138921273514,0.9994377125487314,1.000276939093292,0.0,seconds,0.24778437614440918,0.2515501379966736,megabytes,634.0,634.0,3.0,3.0,0.17565286400000002,0.17565286400000002,0.721875,0.721875,success,back-and-forth,100000,1e-10
2D-gaussian-2c-32p,1024,1024,0.64869135018691,1,6.206847924909107e-15,0.011262515286548386,0.0007266138894547339,0.000728199205345569,"[[0.00025277 0.00027402 0.00029645 ... 0.0010165  0.0010295  0.00104063]
 [0.00027406 0.00029671 0.00032057 ... 0.00104937 0.00106052 0.00106965]
 [0.00029702 0.00032111 0.00034642 ... 0.00108077 0.00108984 0.00109675]
 ...
 [0.00109191 0.001107   0.00112076 ... 0.00055055 0.00051593 0.00048246]
 [0.00109042 0.00110245 0.00111311 ... 0.00050881 0.00047557 0.00044356]
 [0.00108483 0.00109381 0.00110139 ... 0.00046884 0.00043709 0.00040664]]",0.0006085326594211777,0.0019208296655534988,0.4614793271492289,0.0010547748437850194,0.9993806697119063,1.00087581441428,0.0,seconds,0.2705368995666504,0.23242001049220562,megabytes,634.0,634.0,3.0,3.0,0.18074009600000002,0.18074009600000002,0.590625,0.590625,success,back-and-forth,100000,1e-10
2D-gaussian-2c-32p,1024,1024,0.5619540330675816,1,5.781782680356838e-14,0.019384079605795666,0.001250585781019074,0.0012542893552031273,"[[2.28383485e-04 2.23840644e-04 2.17655268e-04 ... 4.13847638e-05
  3.98733885e-05 3.84277228e-05]
 [2.85423640e-04 2.81076148e-04 2.74503720e-04 ... 4.92351727e-05
  4.74344882e-05 4.57247845e-05]
 [3.52991746e-04 3.49382409e-04 3.42837176e-04 ... 5.82007740e-05
  5.60543016e-05 5.40339584e-05]
 ...
 [5.46382213e-04 6.12809588e-04 6.85751741e-04 ... 6.03329103e-04
  5.43590224e-04 4.90904627e-04]
 [4.63202919e-04 5.18787963e-04 5.80333157e-04 ... 5.81120789e-04
  5.25230684e-04 4.75512176e-04]
 [3.90100701e-04 4.35865015e-04 4.86925900e-04 ... 5.53272159e-04
  5.01883959e-04 4.55758111e-04]]",0.0011299864771219033,0.003349345624122162,0.8046802861953508,0.0018793370967077972,0.9987155808631267,1.000862908001192,0.0,seconds,0.23890066146850586,0.24599211104214191,megabytes,634.0,634.0,3.0,3.0,0.176758784,0.176758784,0.70625,0.70625,success,back-and-forth,100000,1e-10
