dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.20113438340886913,,0.029674687639591427,seconds,2.433546781539917,2.423605179414153,megabytes,670.0,670.0,1.0,0.1,0.827666432,0.827666432,0.80859375,0.778359375,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.29685135990064554,,0.12682949315718822,seconds,2.3501553535461426,2.1638859901577234,megabytes,670.0,670.0,1.0,0.09090909090909091,0.8081817600000001,0.8081817600000001,0.79921875,0.70703125,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.16086264780791099,,0.044769111332557565,seconds,2.090229034423828,2.076405819505453,megabytes,670.0,670.0,1.0,0.1,0.83126272,0.83126272,0.8015625,0.77265625,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.48875121659666015,,0.01872019997653876,seconds,2.361292600631714,2.2492263484746218,megabytes,670.0,670.0,1.0,0.2,0.852389888,0.852389888,0.8015625,0.7232031250000001,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.39545657480616936,,9.992007221626409e-16,seconds,5.504108428955078,5.331610336899757,megabytes,670.0,670.0,1.0,0.041666666666666664,0.81514496,0.81514496,0.81875,0.7464192708333334,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.183818948292993,,2.220446049250313e-16,seconds,2.826143264770508,2.7873240523040295,megabytes,670.0,670.0,2.0,0.16666666666666666,0.829865984,0.829865984,0.81484375,0.7759765625,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.3965974048946303,,0.013117916650357733,seconds,2.0103414058685303,2.0188350081443787,megabytes,670.0,670.0,1.0,0.2,0.825532416,0.825532416,0.80234375,0.773203125,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.9031145671066432,,4.3930516776397033e-16,seconds,2.083927869796753,1.962071418762207,megabytes,670.0,670.0,1.0,0.1,0.8613191680000001,0.8613191680000001,0.79375,0.7282031250000001,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.30283838769727295,,2.42861286636753e-16,seconds,2.1757001876831055,1.971375472843647,megabytes,670.0,670.0,1.0,0.1,0.798015488,0.798015488,0.7953125,0.6973437499999999,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.3581881081166667,,0.09505239785276196,seconds,2.217818021774292,2.046390298753977,megabytes,670.0,670.0,1.0,0.1,0.8147968000000001,0.8147968000000001,0.80390625,0.702265625,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.24563226437483243,,1.3183898417423734e-16,seconds,2.3302371501922607,2.20444967597723,megabytes,670.0,670.0,2.0,0.3,0.861462528,0.861462528,0.80390625,0.716484375,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.6363123640797003,,0.04908833790139936,seconds,1.980574369430542,1.9794807210564613,megabytes,670.0,670.0,1.0,0.1111111111111111,0.8237056,0.8237056,0.825,0.7769097222222222,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.15725483281669828,,2.220446049250313e-16,seconds,5.021641492843628,4.950752237811685,megabytes,670.0,670.0,1.0,0.043478260869565216,0.8487198720000001,0.8487198720000001,0.815625,0.7675271739130436,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.26999668633623436,,7.216449660063518e-16,seconds,12.753679037094116,12.767168052494526,megabytes,670.0,670.0,1.0,0.017857142857142856,0.811159552,0.811159552,0.83046875,0.7804827008928571,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.18404271581682916,,0.1523643690183299,seconds,2.4041948318481445,2.3577420599758625,megabytes,670.0,670.0,1.0,0.09090909090909091,0.8362106880000001,0.8362106880000001,0.815625,0.7612926136363636,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.4466068493958326,,1.3877787807814457e-16,seconds,2.2656657695770264,2.168278543278575,megabytes,670.0,670.0,1.0,0.1,0.846749696,0.846749696,0.79765625,0.73828125,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.3488365786892068,,0.006848756709536416,seconds,2.290734052658081,2.2317228354513645,megabytes,670.0,670.0,1.0,0.1,0.8405032960000001,0.8405032960000001,0.79921875,0.7503906249999999,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.439743587842448,,0.00038666110815342193,seconds,2.362827777862549,2.2473247069865465,megabytes,670.0,670.0,1.0,0.1,0.861556736,0.861556736,0.8015625,0.72765625,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.27685253713222585,,0.0007582441647708896,seconds,2.2818684577941895,2.2155874874442816,megabytes,670.0,670.0,1.0,0.1,0.842420224,0.842420224,0.80546875,0.75921875,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.4824261556978152,,0.010810125071075614,seconds,2.0711727142333984,2.013699507340789,megabytes,670.0,670.0,1.0,0.1,0.840409088,0.840409088,0.8359375,0.749921875,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.8869783687674568,,0.11712536374518473,seconds,2.1258010864257812,2.02566484734416,megabytes,670.0,670.0,1.0,0.1,0.855175168,0.855175168,0.81015625,0.7440625,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,1.014638187982669,,0.00018519631942589063,seconds,2.3792855739593506,2.177673878148198,megabytes,670.0,670.0,1.0,0.1,0.7964753920000001,0.7964753920000001,0.8078125,0.7040625,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.16209892539461213,,0.13292976107801563,seconds,2.290930986404419,2.2917289547622204,megabytes,670.0,670.0,1.0,0.1111111111111111,0.8195973120000001,0.8195973120000001,0.8015625,0.7804687499999999,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.4301878579354059,,2.2789929665645303e-16,seconds,3.7490413188934326,3.6925987228751183,megabytes,670.0,670.0,1.0,0.0625,0.8448491520000001,0.8448491520000001,0.7984375,0.760595703125,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.5719730724706782,,0.0016163326964485217,seconds,2.1424434185028076,2.1867435947060585,megabytes,670.0,670.0,1.0,0.1111111111111111,0.80896,0.80896,0.80625,0.7874131944444446,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,1.014708297422693,,0.10621434862207163,seconds,2.1621251106262207,2.168083032593131,megabytes,670.0,670.0,1.0,0.1,0.821583872,0.821583872,0.81484375,0.7778124999999999,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.21973161616475614,,4.575333167888829e-17,seconds,2.2864017486572266,2.109531968832016,megabytes,670.0,670.0,1.0,0.09090909090909091,0.811175936,0.811175936,0.79296875,0.7077414772727274,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.31159019955152883,,6.245004513516506e-17,seconds,2.3539676666259766,2.2407249193638563,megabytes,670.0,670.0,1.0,0.1,0.853151744,0.853151744,0.79375,0.735546875,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.37602998317148595,,0.18662816314219793,seconds,2.2498626708984375,2.2184880673885345,megabytes,670.0,670.0,1.0,0.1111111111111111,0.8322048000000001,0.8322048000000001,0.81015625,0.7660590277777779,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,1.132422470957709,,5.4282201728716095e-05,seconds,2.4750754833221436,2.281638575717807,megabytes,670.0,670.0,0.0,0.0,0.813387776,0.813387776,0.8109375,0.7071093749999999,success,lp
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.42349851177248055,,0.036804795834912155,seconds,2.1506171226501465,1.9866733942180872,megabytes,670.0,670.0,1.0,0.2,0.798470144,0.798470144,0.7984375,0.7089843749999999,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.13127896235850303,,0.013858438378912246,seconds,16.53558111190796,16.491704950109124,megabytes,2000.0,2000.0,9.0,0.20833333333333334,7.998324736000001,7.998324736000001,2.09453125,0.7947482638888891,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.12283211242009696,,0.06956245899255746,seconds,17.4032621383667,17.265322813764215,megabytes,2000.0,2000.0,8.0,0.2054794520547945,7.944036352,7.944036352,1.821875,0.7803189212328768,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.048601295107402694,,0.19146238809993765,seconds,16.14423704147339,16.084853628650308,megabytes,2000.0,2000.0,8.0,0.24285714285714285,8.010960896,8.010960896,2.0109375,0.792466517857143,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.36010642498976203,,0.0475187034394805,seconds,15.098498821258545,15.045087845996022,megabytes,2000.0,2000.0,8.0,0.21739130434782608,7.994392576,7.994392576,1.98671875,0.7914515398550724,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.2584018763531639,,0.015273757218333376,seconds,15.075682163238525,14.953294960781932,megabytes,2000.0,2000.0,48.0,0.8461538461538461,7.962984448,7.962984448,1.2046875,0.7740144230769229,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.1566339979404528,,0.02498988644601896,seconds,15.912488460540771,15.772638015449047,megabytes,2000.0,2000.0,9.0,0.28169014084507044,7.9420129280000005,7.9420129280000005,1.790625,0.7839128521126761,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.03447380274920433,,0.2135436274850066,seconds,15.741647958755493,15.557710388675332,megabytes,2000.0,2000.0,9.0,0.20588235294117646,7.994462208000001,7.994462208000001,2.05,0.7862591911764705,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.7049992921442614,,0.06145442020282217,seconds,15.16356372833252,15.17378530278802,megabytes,2000.0,2000.0,8.0,0.2222222222222222,7.982010368,7.982010368,1.58203125,0.7968501984126983,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.24937955492620528,,0.07897208671750572,seconds,14.900073051452637,14.752781130373478,megabytes,2000.0,2000.0,7.0,0.2,8.013164544,8.013164544,1.83203125,0.7868389423076922,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.13044837306590876,,0.11091137759365553,seconds,15.04112696647644,15.050334136933088,megabytes,2000.0,2000.0,42.0,0.6811594202898551,7.96645376,7.96645376,1.10078125,0.7857110507246373,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.24313594521516033,,0.0038931942571208515,seconds,14.96651816368103,14.957933947443962,megabytes,2000.0,2000.0,55.0,0.9696969696969697,7.965069312000001,7.965069312000001,1.00859375,0.7872869318181818,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.36148801107238515,,0.1233929617468859,seconds,15.140870094299316,14.970866335555911,megabytes,2000.0,2000.0,8.0,0.208955223880597,7.944167424000001,7.944167424000001,1.853125,0.7818680037313431,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.17015242256168228,,0.011788843912979052,seconds,14.358194351196289,14.36420945636928,megabytes,2000.0,2000.0,9.0,0.22580645161290322,7.969411072000001,7.969411072000001,1.26015625,0.7892641129032257,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.2783429260945669,,0.010286110814238358,seconds,14.818936109542847,14.665410215035081,megabytes,2000.0,2000.0,8.0,0.2153846153846154,7.946321920000001,7.946321920000001,1.70703125,0.7893509615384616,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.0773333239802016,,0.16502267042300747,seconds,15.455422639846802,15.41978895664215,megabytes,2000.0,2000.0,9.0,0.21428571428571427,7.9776358400000005,7.9776358400000005,1.45625,0.7895982142857144,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.40470688692446816,,0.016043889037082683,seconds,15.243351697921753,15.053901374340057,megabytes,2000.0,2000.0,39.0,0.84375,7.946129408000001,7.946129408000001,1.57578125,0.7804199218749999,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.23468208126773865,,0.016815148641353053,seconds,15.536091327667236,15.552374610677361,megabytes,2000.0,2000.0,9.0,0.21212121212121213,7.944204288000001,7.944204288000001,1.70078125,0.7905894886363632,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.3972355651734,,0.03773952470555575,seconds,15.199806213378906,15.203241942450404,megabytes,2000.0,2000.0,7.0,0.2153846153846154,7.992451072000001,7.992451072000001,1.55625,0.79328125,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.2183565042943195,,0.011751851500410462,seconds,15.813085556030273,15.671541877090931,megabytes,2000.0,2000.0,9.0,0.2,8.00299008,8.00299008,1.84453125,0.7871875,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.3971794720985353,,0.020160453058011833,seconds,15.74360704421997,15.573502413928509,megabytes,2000.0,2000.0,39.0,0.7761194029850746,7.973634048,7.973634048,1.36328125,0.7799673507462684,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.5024178549853018,,0.13251792319592792,seconds,16.17837119102478,16.16539598442614,megabytes,2000.0,2000.0,17.0,0.453125,7.981817856,7.981817856,1.4640625,0.78944091796875,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.9209617355247175,,0.0030717118573867336,seconds,15.257370471954346,15.243144629523158,megabytes,2000.0,2000.0,28.0,0.5238095238095238,7.969255424000001,7.969255424000001,1.2265625,0.7919518849206348,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.06381972194553905,,0.06651681943584314,seconds,16.31759285926819,16.249147245660424,megabytes,2000.0,2000.0,7.0,0.2,7.969378304,7.969378304,1.1171875,0.7809486607142857,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.45118095422780324,,0.0019306097139767029,seconds,14.539808750152588,14.539852296933532,megabytes,2000.0,2000.0,13.0,0.38461538461538464,7.958872064,7.958872064,1.28046875,0.788497596153846,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.5091976539583691,,0.004947931512510819,seconds,14.619295120239258,14.584934689104557,megabytes,2000.0,2000.0,9.0,0.3076923076923077,8.000790528000001,8.000790528000001,2.22265625,0.7964543269230769,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.4716693719465508,,0.21058645253288075,seconds,14.685160636901855,14.626798201352358,megabytes,2000.0,2000.0,25.0,0.5606060606060606,8.013365248000001,8.013365248000001,2.05859375,0.7913707386363635,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.23651364411703243,,0.003668890629875513,seconds,15.125647068023682,14.95318679139018,megabytes,2000.0,2000.0,9.0,0.21212121212121213,7.958581248000001,7.958581248000001,1.51796875,0.7766808712121213,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.3088967934460684,,0.002735854663432813,seconds,15.901698350906372,15.729918658733368,megabytes,2000.0,2000.0,55.0,0.9393939393939394,7.971221504000001,7.971221504000001,1.2734375,0.7830610795454547,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.0654391581352309,,0.25521619730660444,seconds,14.981511116027832,14.795363463461399,megabytes,2000.0,2000.0,25.0,0.5757575757575758,7.9797248000000005,7.9797248000000005,1.5546875,0.7825994318181817,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.6357933871298354,,0.0833680870606071,seconds,14.526869535446167,14.473541816696525,megabytes,2000.0,2000.0,36.0,0.640625,7.956639744,7.956639744,1.77578125,0.7866699218749998,success,lp
3D-gen-hyperb-mixture-2c-24p,13824,13824,0.23158419800416205,,0.0476921237287232,seconds,14.372791528701782,14.309014823287725,megabytes,2000.0,2000.0,16.0,0.3484848484848485,7.998578688,7.998578688,1.7484375,0.7879498106060607,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.09358235388567844,,0.006926787388680616,seconds,170.33635926246643,170.31394796445966,megabytes,8736.0,8736.0,100.0,0.46875,44.249055232,44.249055232,1.8390625,0.7806540749289773,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.048779967729165104,,0.10552206933924055,seconds,161.3938808441162,161.22033534757793,megabytes,8738.0,8738.0,100.0,0.46726190476190477,44.269191168000006,44.269191168000006,1.8296875,0.780054873511905,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.06080265348053723,,0.1358941336289632,seconds,170.78340697288513,170.5766003523022,megabytes,8736.0,8736.0,100.0,0.46584699453551914,44.264218624,44.264218624,1.640625,0.7794036031420764,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.29589413916104557,,0.022878351094330264,seconds,168.36394238471985,168.1730201691389,megabytes,8738.0,8738.0,100.0,0.38430311231393777,44.253745152,44.253745152,1.05546875,0.7789897665764548,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.19197292679946712,,0.05552871600525287,seconds,165.27518224716187,165.13061969541013,megabytes,8736.0,8736.0,100.0,0.46438746438746437,44.250144768000006,44.250144768000006,1.75859375,0.7808048433048439,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.13041482336833596,,0.037437344226124644,seconds,167.12705850601196,167.02959610708058,megabytes,8738.0,8738.0,100.0,0.4532967032967033,44.259622912000005,44.259622912000005,1.5359375,0.7799053485576924,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.028600136793892363,,0.22712747169691402,seconds,165.80616879463196,165.73431677557528,megabytes,8736.0,8736.0,100.0,0.5185714285714286,44.267466752000004,44.267466752000004,1.9015625,0.7803459821428577,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.4001581375686356,,0.04316829819413123,seconds,166.09481930732727,165.92399622872472,megabytes,8738.0,8738.0,100.0,0.4894217207334274,44.268195840000004,44.268195840000004,2.1390625,0.7795288258110018,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.2427380539954166,,0.04585501707285308,seconds,165.17243766784668,165.02844689786434,megabytes,8736.0,8736.0,100.0,0.38142857142857145,44.267487232,44.267487232,1.98203125,0.7808359374999998,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.09120115988787955,,0.052573191976645894,seconds,166.70318174362183,166.685643106699,megabytes,8738.0,8738.0,100.0,0.4675324675324675,44.240236544000005,44.240236544000005,2.01875,0.7808554292929295,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.17275743241012,,0.00499051704163544,seconds,165.79478120803833,165.6492465864867,megabytes,8736.0,8736.0,100.0,0.44866385372714485,44.266192896,44.266192896,1.80078125,0.7801995428973297,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.2713831794529016,,0.16816494981885122,seconds,166.3586688041687,166.17024683579803,megabytes,8738.0,8738.0,100.0,0.409288824383164,44.271599616,44.271599616,1.88046875,0.7794085631349781,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.10714305300771687,,0.05367061156776752,seconds,164.43410968780518,164.37066667713225,megabytes,8736.0,8736.0,100.0,0.5101744186046512,44.263878656,44.263878656,1.9140625,0.7819165606831399,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.24770605586020977,,0.02586440411399741,seconds,163.36051082611084,163.29938631504774,megabytes,8738.0,8738.0,100.0,0.512781954887218,44.263202816,44.263202816,1.57578125,0.7801268796992488,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.04493996514136449,,0.09114200156395064,seconds,167.4609818458557,167.26236966438591,megabytes,8736.0,8736.0,100.0,0.3825966850828729,44.238749696,44.238749696,1.77265625,0.7801353159530379,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.30947783416437313,,0.011374569371564539,seconds,164.74935674667358,164.73112739995122,megabytes,8738.0,8738.0,100.0,0.5140449438202247,44.271628288,44.271628288,2.1296875,0.7816066099016862,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.1540457563778103,,0.009222416287677341,seconds,167.37319946289062,167.2350336741656,megabytes,8736.0,8736.0,100.0,0.3913630229419703,44.265414656000004,44.265414656000004,1.68671875,0.779098135964912,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.30377344371718207,,0.023313791095891233,seconds,166.99152064323425,166.8190405871719,megabytes,8738.0,8738.0,100.0,0.4688385269121813,44.246933504000005,44.246933504000005,0.90546875,0.7783695555949003,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.18416433972505347,,0.005885602157624134,seconds,166.53920340538025,166.43530867621303,megabytes,8736.0,8736.0,100.0,0.4408759124087591,44.24845312,44.24845312,1.8265625,0.7799931569343058,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.3205419517440751,,0.010388817389606642,seconds,166.76757407188416,166.6135317273438,megabytes,8738.0,8738.0,100.0,0.45403899721448465,44.25340928,44.25340928,1.36796875,0.7790085306406683,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.1851152851974206,,0.10461993816562622,seconds,170.3742275238037,170.18038056232035,megabytes,8736.0,8736.0,100.0,0.3497942386831276,44.256665600000005,44.256665600000005,1.7578125,0.7804773233882037,success,lp
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.5627543608008106,,0.0038085179795866184,seconds,164.32375359535217,164.23764897696674,megabytes,8738.0,8738.0,100.0,0.42653352353780316,44.257570816000005,44.257570816000005,1.41484375,0.7808744204707564,success,lp
