dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,cost_normed,cost_diff
3D-gaussian-2c-16p,4096,4096,0.6237420096286435,11,1.3887863423601508e-16,seconds,0.0,0.009878793731331825,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gaussian-2c-16p,4096,4096,1.4995832958468904,11,1.4602825894493911e-16,seconds,0.0,0.009364446625113487,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gaussian-2c-16p,4096,4096,1.4638657020340453,11,1.8404849271780033e-16,seconds,0.0,0.00932386890053749,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gaussian-2c-16p,4096,4096,0.3726412822169682,11,2.262256719346588e-16,seconds,0.0,0.009447280317544937,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gaussian-2c-16p,4096,4096,1.434009729772665,11,1.5034425100022587e-16,seconds,0.0,0.009700441733002663,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gaussian-2c-16p,4096,4096,0.5730623909037761,11,2.4864431470541246e-16,seconds,0.0,0.00936698354780674,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gaussian-2c-16p,4096,4096,0.8325181305451637,11,2.0843599640100994e-16,seconds,0.0,0.009366786107420921,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gaussian-2c-16p,4096,4096,0.42215685134981595,11,1.3451458847346013e-16,seconds,0.0,0.009228244423866272,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gaussian-2c-16p,4096,4096,0.5936778582711826,11,1.8652325578355772e-16,seconds,0.0,0.00935973972082138,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gaussian-2c-16p,4096,4096,0.8854808360219162,11,1.7964507354688066e-16,seconds,0.0,0.009322771802544594,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
