dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,exception
3D-gaussian-2c-16p,4096,4096,1.9088827492288338,11,2.753617474425143e-17,seconds,0.0,0.00989922322332859,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.8194089832472646,11,2.8635963549485943e-17,seconds,0.0,0.011171319521963596,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.8803994882258666,11,2.6655992037448547e-17,seconds,0.23266386985778809,0.023036903701722622,megabytes,800.0,800.0,4.0,4.0,0.022568960000000002,0.022568960000000002,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.7124481525626059,11,2.7612792722540632e-17,seconds,0.0,0.01049334742128849,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.880452678720005,11,2.839259937829793e-17,seconds,0.0,0.02394152246415615,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.926813899798562,11,2.799759901985133e-17,seconds,0.0,0.009639820083975792,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.7991104106790163,11,4.627103431005413e-17,seconds,0.22578883171081543,0.027900971472263336,megabytes,800.0,800.0,5.0,5.0,0.02244608,0.02244608,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.8021376070946808,11,2.7521301292869775e-17,seconds,0.21326804161071777,0.03896062262356281,megabytes,800.0,800.0,4.0,4.0,0.022315008,0.022315008,0.04375,0.04375,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.5152280727560807,11,5.154300470514586e-17,seconds,0.0,0.023406093940138817,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.9317648554829898,11,2.818525010058457e-17,seconds,0.4553186893463135,0.15168208628892899,megabytes,800.0,800.0,1.0,1.0,0.021884928,0.021884928,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.9634462363365284,11,2.7959603383937306e-17,seconds,0.0,0.00992561038583517,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.9555092958793465,11,4.966938704559169e-17,seconds,0.0,0.009711145423352718,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.9158042919565026,11,2.849817002874937e-17,seconds,0.21498417854309082,0.02919995691627264,megabytes,800.0,800.0,3.0,3.0,0.022335488,0.022335488,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,2.0267935014974325,11,2.920928674862594e-17,seconds,0.0,0.017607463523745537,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.8404704267424221,11,2.7131954305039284e-17,seconds,0.0,0.009923171252012253,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.876550749387658,11,2.818652955820028e-17,seconds,0.21019864082336426,0.015150176361203194,megabytes,800.0,800.0,5.0,5.0,0.022376448,0.022376448,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.7395540916829484,11,3.57568884270413e-17,seconds,0.0,0.009785881265997887,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,2.0363325518795623,11,3.1487054645385466e-17,seconds,0.2089858055114746,0.01744954939931631,megabytes,800.0,800.0,4.0,4.0,0.022355968,0.022355968,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.870304754131098,11,2.791143872610133e-17,seconds,0.0,0.009725021198391914,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.7789862349291918,11,4.2796759000442665e-17,seconds,0.0,0.009589643217623234,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.8240262327596057,11,2.833142106791867e-17,seconds,0.0,0.010000181384384632,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.7847854226607038,11,2.865140788545796e-17,seconds,0.21201014518737793,0.014980037696659565,megabytes,800.0,800.0,5.0,5.0,0.0223232,0.0223232,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.9271234822417393,11,2.789512091712467e-17,seconds,0.0,0.009615365415811539,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.9596145198136248,11,2.751287436087545e-17,seconds,0.0,0.00986472237855196,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.9833272096819192,11,2.7731093507031513e-17,seconds,0.23103976249694824,0.0784444585442543,megabytes,800.0,800.0,4.0,4.0,0.020594688,0.020594688,0.0796875,0.0796875,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.8387530377067236,11,2.7811383239858764e-17,seconds,0.0,0.00962673220783472,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.8984313391629815,11,2.807441247196796e-17,seconds,0.21422934532165527,0.021707740612328053,megabytes,800.0,800.0,4.0,4.0,0.022204416,0.022204416,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.8821984094694715,11,2.701394679559444e-17,seconds,0.21781110763549805,0.021450641565024853,megabytes,800.0,800.0,4.0,4.0,0.022233088,0.022233088,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.9499765541403191,11,2.8367262645962174e-17,seconds,0.0,0.009707811288535595,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.9407448159703065,11,2.802381786627103e-17,seconds,0.0,0.017056241631507874,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-16p,4096,4096,1.8483484359294753,11,2.864942195158056e-17,seconds,0.21564817428588867,0.020391023717820644,megabytes,800.0,800.0,5.0,5.0,0.022290432000000002,0.022290432000000002,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-24p,13824,13824,1.8373997275537455,11,1.933448874896463e-17,seconds,1.1615214347839355,1.0086727673187852,megabytes,6504.0,6504.0,53.0,15.6,0.051306496,0.051306496,0.75234375,0.36687499999999995,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-24p,13824,13824,1.7561907787447053,11,1.740145100653525e-17,seconds,0.2118091583251953,0.07359107583761215,megabytes,2132.0,2132.0,55.0,55.0,0.022880256,0.022880256,0.17265625,0.17265625,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-24p,13824,13824,1.812581226958296,11,1.940242156391934e-17,seconds,0.21917939186096191,0.06825887970626354,megabytes,2130.0,2130.0,60.0,60.0,0.02281472,0.02281472,0.1296875,0.1296875,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-24p,13824,13824,1.653698328568388,11,1.788576038401823e-17,seconds,0.22579240798950195,0.057722192257642746,megabytes,2132.0,2132.0,61.0,61.0,0.022761472,0.022761472,0.0796875,0.0796875,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-24p,13824,13824,1.8147120049503367,11,1.663633741963346e-17,seconds,0.2380824089050293,0.05880219396203756,megabytes,2130.0,2130.0,55.0,55.0,0.022700032000000002,0.022700032000000002,0.040625,0.040625,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-24p,13824,13824,1.8579911085955254,11,1.6616528553349107e-17,seconds,0.2086186408996582,0.06406197044998407,megabytes,2132.0,2132.0,17.0,17.0,0.022646784000000003,0.022646784000000003,0.16953125,0.16953125,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-24p,13824,13824,1.739450182064266,11,3.5469642641351434e-17,seconds,0.2179563045501709,0.06580563448369503,megabytes,2130.0,2130.0,55.0,55.0,0.022593536,0.022593536,0.1671875,0.1671875,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-24p,13824,13824,1.7380099688902169,11,1.692382605145106e-17,seconds,0.218580961227417,0.06807040143758059,megabytes,2132.0,2132.0,55.0,55.0,0.022573056,0.022573056,0.16796875,0.16796875,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-24p,13824,13824,1.463358234063586,11,3.9016412436440955e-17,seconds,0.3238341808319092,0.05770621541887522,megabytes,2130.0,2130.0,43.0,43.0,0.022536192,0.022536192,0.08203125,0.08203125,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-24p,13824,13824,1.8637088467030676,11,2.081639099017215e-17,seconds,0.2457108497619629,0.05920636374503374,megabytes,2132.0,2132.0,55.0,55.0,0.022708224000000003,0.022708224000000003,0.07734375,0.07734375,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-24p,13824,13824,1.8927113685870012,11,1.7850525305362794e-17,seconds,0.2135772705078125,0.0706462087109685,megabytes,2130.0,2130.0,53.0,53.0,0.022482944,0.022482944,0.12890625,0.12890625,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-24p,13824,13824,1.8878583999570917,11,3.6678728409695716e-17,seconds,0.22339820861816406,0.05720660462975502,megabytes,2132.0,2132.0,58.0,58.0,0.022540288000000002,0.022540288000000002,0.08125,0.08125,success,sinkhorn-normed,1.0,1000000,
3D-gaussian-2c-24p,13824,13824,1.8473685995988482,11,1.695611346572086e-17,seconds,0.21976661682128906,0.07021533232182264,megabytes,2130.0,2130.0,32.0,32.0,0.022458368000000003,0.022458368000000003,0.125,0.125,success,sinkhorn-normed,1.0,1000000,
