dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,cost_normed,cost_diff
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.6201712118167333,11,4.8681291630406834e-17,seconds,0.0,0.009594758972525597,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.7806467351347667,11,1.0537378398542956e-16,seconds,0.0,0.009427135810256004,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.7492896713765979,11,1.1078572128400584e-16,seconds,0.0,0.010003872215747833,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.6491630530202696,11,9.344358527725094e-17,seconds,0.0,0.009489800781011581,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.43020883955875133,11,2.2670787025803505e-16,seconds,0.0,0.009605607017874718,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.5646590587283118,11,1.0954011496914661e-16,seconds,0.0,0.009475233033299446,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.8353687824041702,11,1.2133871182461363e-16,seconds,0.0,0.009535472840070724,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gen-hyperb-mixture-2c-16p,4096,4096,1.1131856158172317,11,1.433001631859525e-16,seconds,0.19823741912841797,0.07375971227884293,megabytes,800.0,800.0,0.0,0.0,0.033779712,0.033779712,0.04453125,0.04453125,success,sinkhorn-normed,1.0,1000000,,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.4795562378180151,11,1.8903277633815154e-16,seconds,0.24332094192504883,0.009499074891209602,megabytes,800.0,800.0,5.0,5.0,0.035479552000000004,0.035479552000000004,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.9352660907563546,11,9.491486530395866e-17,seconds,0.0,0.009570706635713577,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,,
