dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,exception
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.6425050608928071,11,5.4613191386675766e-17,seconds,0.254774808883667,0.118976348079741,megabytes,800.0,800.0,0.0,0.0,0.021123072,0.021123072,0.07265625,0.07265625,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.7645989595432207,11,1.1259504723166953e-16,seconds,0.3409562110900879,0.019144474528729916,megabytes,800.0,800.0,4.0,4.0,0.022556672,0.022556672,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.865567427961079,11,1.3681281708777083e-16,seconds,0.0,0.021985193714499474,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.6591915816529315,11,1.0167200311823349e-16,seconds,0.2576777935028076,0.08354556746780872,megabytes,800.0,800.0,0.0,0.0,0.019951616000000002,0.019951616000000002,0.1359375,0.1359375,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.4573547466635729,11,1.2426801630344331e-16,seconds,0.21321463584899902,0.019227725453674793,megabytes,800.0,800.0,4.0,4.0,0.02156544,0.02156544,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.6048577293019217,11,9.929387255338282e-17,seconds,0.0,0.014567617326974869,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.969943530347588,11,1.1671974424407734e-16,seconds,0.26071858406066895,0.014959090389311314,megabytes,800.0,800.0,4.0,4.0,0.021540864,0.021540864,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,1.0811416754623335,11,1.9121123701301304e-16,seconds,0.0,0.009543467313051224,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.4709000077567543,11,3.515139852831733e-16,seconds,0.24690914154052734,0.09510754141956568,megabytes,800.0,800.0,3.0,3.0,0.021303296000000003,0.021303296000000003,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.9361522176778015,11,8.120338381567212e-17,seconds,0.3155503273010254,0.03829097002744675,megabytes,800.0,800.0,4.0,4.0,0.021524480000000002,0.021524480000000002,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.552414681040419,11,9.854124648447356e-17,seconds,0.0,0.009874939918518066,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.8987546286905299,11,5.559365914644788e-16,seconds,0.2399587631225586,0.08516198489814997,megabytes,800.0,800.0,3.0,3.0,0.021118976,0.021118976,0.0375,0.0375,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.3576332865112843,11,1.765312703202385e-16,seconds,0.25900745391845703,0.11896050069481134,megabytes,800.0,800.0,3.0,3.0,0.02064384,0.02064384,0.0359375,0.0359375,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.5793339915471226,11,2.6125567985817155e-16,seconds,0.0,0.009698297828435898,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.6298811610787528,11,1.808819858680171e-16,seconds,0.22617816925048828,0.07803285773843527,megabytes,800.0,800.0,2.0,2.0,0.01978368,0.01978368,0.07890625,0.07890625,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.624670346265551,11,1.0118215591722256e-16,seconds,0.3725466728210449,0.039921279065310955,megabytes,800.0,800.0,4.0,4.0,0.021446656,0.021446656,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.8240247244231161,11,7.047268971289756e-17,seconds,0.23372912406921387,0.025540857575833797,megabytes,800.0,800.0,3.0,3.0,0.021454848000000002,0.021454848000000002,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,1.3584533071984182,11,8.180216836325311e-17,seconds,0.0,0.019245276227593422,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,0.5093154599869055,11,1.0556059898705127e-16,seconds,0.21396851539611816,0.01988818496465683,megabytes,800.0,800.0,0.0,0.0,0.021598208,0.021598208,0.0,0.0,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-16p,4096,4096,1.084752423827351,11,9.54505433458661e-17,seconds,0.3630332946777344,0.02149813435971737,megabytes,800.0,800.0,4.0,4.0,0.021491712,0.021491712,0.0234375,0.0234375,success,sinkhorn-normed,1.0,1000000,
