dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
3D-cauchy-vs-gaussian-16p,4096,4096,1.834076900723972,11,6.043042320351562e-17,seconds,0.0,0.009811035357415676,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,2.10052434597151,11,4.84555347856572e-17,seconds,0.0,0.014170261099934578,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,1.5089066062621574,11,6.248319904564776e-17,seconds,0.0,0.017435859888792038,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,1.8393816214918364,11,5.734911029666391e-17,seconds,0.2261505126953125,0.08854999765753746,megabytes,800.0,800.0,2.0,2.0,0.019611648000000002,0.019611648000000002,0.08203125,0.08203125,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,2.3263886287266913,11,9.228266435665585e-17,seconds,0.0,0.02123371697962284,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,1.6282276203920463,11,3.9866165036215065e-17,seconds,0.2903604507446289,0.10683409497141838,megabytes,800.0,800.0,3.0,3.0,0.020766720000000002,0.020766720000000002,0.059375,0.059375,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,2.2046602400611364,11,7.554217480793568e-17,seconds,0.24976277351379395,0.1096700169146061,megabytes,800.0,800.0,2.0,2.0,0.020631552,0.020631552,0.07109375,0.07109375,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,1.8175448962729557,11,4.1840410095050257e-17,seconds,0.2675652503967285,0.03287303913384676,megabytes,800.0,800.0,4.0,4.0,0.021213184000000003,0.021213184000000003,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,1.6936141325406644,11,3.362898683481548e-17,seconds,0.0,0.009617133066058159,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,2.1846030607413462,11,8.958538926160277e-17,seconds,0.0,0.011256339959800243,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,2.4114674270260634,11,8.531007051765871e-17,seconds,0.0,0.009871129877865314,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,1.383801569019437,11,1.5048908628792942e-16,seconds,0.0,0.009467567317187786,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,1.9711146414457583,11,4.4002561900873646e-17,seconds,0.0,0.014813131652772427,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,1.6673552702409145,11,4.5556128883877074e-17,seconds,0.2972426414489746,0.02856028638780117,megabytes,800.0,800.0,4.0,4.0,0.021147648,0.021147648,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,1.4582338369078303,11,4.4181330130568884e-17,seconds,0.2244701385498047,0.02326460462063551,megabytes,800.0,800.0,2.0,2.0,0.021184512000000003,0.021184512000000003,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,1.7551929354422873,11,6.213475437247394e-17,seconds,0.0,0.009570923633873463,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,2.6415665246491606,11,9.842887215720416e-17,seconds,0.2207648754119873,0.03000515140593052,megabytes,800.0,800.0,1.0,1.0,0.021209088,0.021209088,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,2.1059559797408403,11,7.1376479496157e-17,seconds,0.2522432804107666,0.08390770573168993,megabytes,800.0,800.0,0.0,0.0,0.019402752000000002,0.019402752000000002,0.07890625,0.07890625,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,1.8846135899749015,11,6.038181513382319e-17,seconds,0.0,0.009697346948087215,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,1.8850656650316373,11,1.014700823145028e-16,seconds,0.2374718189239502,0.09816989861428738,megabytes,800.0,800.0,0.0,0.0,0.020611072,0.020611072,0.07578125,0.07578125,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,2.405442011379558,11,5.552212496642702e-17,seconds,0.0,0.02174191828817129,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,1.6569651695913068,11,8.424414481553329e-17,seconds,0.22858023643493652,0.09019474685192108,megabytes,800.0,800.0,2.0,2.0,0.020029440000000003,0.020029440000000003,0.0390625,0.0390625,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,1.9272625051099792,11,5.5039324852972137e-17,seconds,0.21628379821777344,0.01921093836426735,megabytes,800.0,800.0,4.0,4.0,0.021225472000000002,0.021225472000000002,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,2.153829111533419,11,8.752267554640413e-17,seconds,0.0,0.010246152058243752,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,1.7817259861811001,11,5.303770500855445e-17,seconds,0.3690450191497803,0.042588673532009125,megabytes,800.0,800.0,0.0,0.0,0.02093056,0.02093056,0.0234375,0.0234375,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,2.373732072921653,11,7.691127133077215e-17,seconds,0.0,0.022814327850937843,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,1.9243521174291962,11,4.567648448370856e-17,seconds,0.22323918342590332,0.08498979452997446,megabytes,800.0,800.0,2.0,2.0,0.019419136,0.019419136,0.12578125,0.12578125,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,2.2243321887953837,11,1.0647328301101388e-16,seconds,0.0,0.013028755784034729,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,1.5213345960105888,11,6.633349473826146e-17,seconds,0.0,0.0128245297819376,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,1.751863724106772,11,5.3783253905215934e-17,seconds,0.0,0.009678262285888195,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-16p,4096,4096,1.4000628037347125,11,4.922185736541409e-17,seconds,0.0,0.009632597677409649,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-24p,13824,13824,1.7850238113617884,11,4.1684113782427877e-17,seconds,1.22361421585083,1.1849221549928188,megabytes,6506.0,6506.0,9.0,1.8,0.049299456000000005,0.085671936,0.76640625,0.4425,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-24p,13824,13824,2.0334560831832293,11,3.5423755559052904e-17,seconds,0.3091697692871094,0.15456371940672398,megabytes,2132.0,2132.0,48.0,48.0,0.021622784000000003,0.021622784000000003,0.13828125,0.13828125,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-24p,13824,13824,1.4609235011051331,11,4.065278182878463e-17,seconds,0.2410438060760498,0.10514847841113806,megabytes,2132.0,2132.0,5.0,5.0,0.0214016,0.0214016,0.1859375,0.1859375,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-24p,13824,13824,1.778166319305425,11,4.0450624866077994e-17,seconds,0.23408246040344238,0.11844719853252172,megabytes,5056.0,5056.0,25.0,25.0,0.019890176000000002,0.019890176000000002,0.271875,0.271875,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-24p,13824,13824,2.263540790684874,11,4.762047057075026e-17,seconds,0.2246713638305664,0.05552865378558636,megabytes,2132.0,2132.0,30.0,30.0,0.021483520000000002,0.021483520000000002,0.12421875,0.12421875,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-24p,13824,13824,1.5786930184852674,11,2.9131605062562826e-17,seconds,0.242201566696167,0.06878867466002703,megabytes,2132.0,2132.0,31.0,31.0,0.021417984,0.021417984,0.08203125,0.08203125,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-24p,13824,13824,2.156423865123217,11,4.4664114570781e-17,seconds,0.2397780418395996,0.11819998733699322,megabytes,5056.0,5056.0,50.0,50.0,0.019808256,0.019808256,0.234375,0.234375,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-24p,13824,13824,1.7634853677191487,11,3.278875658549206e-17,seconds,0.2239384651184082,0.05740116722881794,megabytes,2132.0,2132.0,25.0,25.0,0.021331968,0.021331968,0.08125,0.08125,success,sinkhorn-normed,1.0,1000000
3D-cauchy-vs-gaussian-24p,13824,13824,1.6369626711483591,11,2.495895820301214e-17,seconds,0.2824416160583496,0.1426782812923193,megabytes,2132.0,2132.0,55.0,55.0,0.021463040000000003,0.021463040000000003,0.09453125,0.09453125,success,sinkhorn-normed,1.0,1000000
