dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name
1D-students-2df-32p,32,32,0.08827430737963445,,2.0816681711721685e-17,0.0,seconds,0.0,0.019425987266004086,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-students-2df-32p,32,32,0.00756593735799379,,1.0061396160665481e-16,0.0,seconds,0.0,0.002106383442878723,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-students-2df-32p,32,32,0.0034796327114252827,,1.734723475976807e-16,0.0,seconds,0.0,0.0015845224261283875,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-students-2df-32p,32,32,0.0017008168885811015,,2.7755575615628914e-17,0.0,seconds,0.0,0.0016364213079214096,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-students-2df-32p,32,32,0.04475740362928503,,1.942890293094024e-16,0.0,seconds,0.0,0.001563224010169506,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-students-2df-32p,32,32,0.4074067484637837,,8.326672684688674e-17,0.0,seconds,0.0,0.0015561571344733238,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-students-2df-32p,32,32,0.02830366674190552,,6.938893903907228e-17,0.0,seconds,0.0,0.0015974976122379303,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-students-2df-32p,32,32,0.0005111195210725147,,1.3877787807814457e-17,0.0,seconds,0.0,0.0015631364658474922,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-students-2df-32p,32,32,0.010493406445383413,,4.85722573273506e-17,0.0,seconds,0.0,0.0015661120414733887,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-students-2df-32p,32,32,0.1130042009464008,,9.020562075079397e-17,0.0,seconds,0.0,0.001569683663547039,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-students-2df-32p,32,32,0.06287871040994082,,1.3877787807814457e-17,0.0,seconds,0.0,0.00156332366168499,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-students-2df-32p,32,32,0.0475330862299781,,1.1796119636642288e-16,0.0,seconds,0.0,0.0015904475003480911,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
1D-students-2df-32p,32,32,0.32968433778890566,,1.3877787807814457e-16,0.0,seconds,0.0,0.0018187835812568665,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,lp
