dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
1D-cauchy-32p,32,32,0.4105758233031346,11,1.1198039782606493e-16,4.982535773640095,seconds,0.0,0.003100218251347542,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.40515319393772653,11,1.312269867131231e-16,1.9437981243174007,seconds,0.0,0.0029678111895918846,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.3512697979681072,11,8.68445263380243e-17,3.7351543183862708,seconds,0.0,0.0029676733538508415,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.5379098312967512,11,1.5908464154488177e-16,0.7345247482580546,seconds,0.0,0.0028527965769171715,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.6074019445843699,11,1.3622550516371503e-16,0.24051439814977937,seconds,0.0,0.002892647869884968,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.382504067786,11,1.1086294590171043e-16,1.0253659362329932,seconds,0.0,0.0029141223058104515,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.29250835635597183,11,1.5950261181411628e-16,50.33410672411932,seconds,0.0,0.0029635289683938026,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.3201141728539936,11,1.0335080080726949e-16,64.80781878231014,seconds,0.0,0.002843506634235382,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.4289039467413752,11,1.596181276621376e-16,0.5791446522525154,seconds,0.0,0.002774834632873535,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.2664070005918009,11,1.2933000493764944e-16,4.143746580801193,seconds,0.0,0.0028876308351755142,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.526118938705351,11,1.0794385653450953e-16,1.8841620658819116,seconds,0.0,0.0032095536589622498,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,1.1240521621519348,11,1.8892119412745198e-16,0.1235748626820791,seconds,0.0,0.002877197228372097,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,1.4457293232121344,11,1.53199877046824e-16,0.13785899911717248,seconds,0.0,0.002850443124771118,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.2534475176869778,11,1.6707467531455059e-16,2.6330168370834595,seconds,0.0,0.002871433272957802,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.5720246297372824,11,1.1160438226751205e-16,0.7791119254766968,seconds,0.0,0.0029131462797522545,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.5638786877849534,11,1.4391933399921327e-16,0.5048000796778579,seconds,0.0,0.0028575481846928596,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.37322818689399495,11,1.673547445438462e-16,2.005389032433107,seconds,0.0,0.0030021239072084427,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.7376780654371965,11,1.598865558644705e-16,0.6471374909306223,seconds,0.0,0.0028315912932157516,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.520542438032045,11,1.35851051382474e-16,0.2597613350489037,seconds,0.0,0.0028304019942879677,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.2976965621055322,11,1.2285039271398924e-16,12.302847094576059,seconds,0.0,0.0027956366539001465,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,1.1276984108593324,11,1.4274887597203133e-16,0.2828651659487803,seconds,0.0,0.002761046402156353,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.6326883463820835,11,1.1658919553164722e-16,0.7227752944723962,seconds,0.0,0.002863188274204731,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.3434066899374425,11,1.5746856204965377e-16,2.495984652145282,seconds,0.0,0.0028831958770751953,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.3741650546269668,11,1.4671751330516065e-16,10.618923337163064,seconds,0.0,0.0028046267107129097,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.4192740330633429,11,1.3181615688912568e-16,3.2468231671177037,seconds,0.0,0.0027318233624100685,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.16167709534075814,11,1.840550306643988e-16,10.385658661744651,seconds,0.0,0.0027809645980596542,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.31429350958036845,11,1.5586710045903415e-16,3.786711443284085,seconds,0.0,0.0028614038601517677,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.3892690737428879,11,1.7679079216730616e-16,8.355175482115099,seconds,0.0,0.002769722603261471,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,0.7369659583723329,11,1.265753914663957e-16,0.3091275979774893,seconds,0.0,0.0028949538245797157,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-32p,32,32,1.2009564471105407,11,2.6500531619183245e-16,0.08020574257160819,seconds,0.0,0.002892817370593548,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-64p,64,64,0.402688642947855,11,1.1659484151706536e-16,5.018465017762,seconds,0.0,0.003132791258394718,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-64p,64,64,0.39716404786308757,11,1.2485170590588722e-16,1.9757486345546424,seconds,0.0,0.0029415693134069443,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-64p,64,64,0.34651790024770757,11,1.4431146344143511e-16,3.7421042433588347,seconds,0.0,0.0029981788247823715,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-cauchy-64p,64,64,0.5265456496425174,11,1.0102716619687841e-16,0.746925039652573,seconds,0.0,0.0029133744537830353,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
