dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
1D-gaussian-1c-32p,32,32,0.5342044423457248,11,1.0932887412460298e-16,141.01250998814254,seconds,0.0,0.003125905990600586,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-1c-32p,32,32,0.5622599485714177,11,1.3274885683554194e-16,389.66735681536784,seconds,0.0,0.0029806820675730705,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-1c-32p,32,32,0.5601747424244451,11,1.0557613155037045e-16,606.1873775399391,seconds,0.0,0.0029330486431717873,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-1c-32p,32,32,0.3992396660021205,11,1.4592012974776351e-16,4.672575712286406,seconds,0.0,0.002967185340821743,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-1c-32p,32,32,0.5471622865452168,11,1.1396486328014184e-16,1.1737783456281279,seconds,0.0,0.002896849997341633,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-1c-32p,32,32,0.5214384042225014,11,1.1443916996305594e-16,55.791948059451215,seconds,0.0,0.0028005829080939293,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-1c-32p,32,32,0.559543119882216,11,1.0872164013514816e-16,1506.7927845505628,seconds,0.0,0.002896493300795555,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-1c-32p,32,32,0.5198464922828554,11,1.2775858592940758e-16,84.13535737315313,seconds,0.0,0.0028221197426319122,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-1c-32p,32,32,0.4028293902327471,11,1.1714201148076235e-16,2.2733891472378653,seconds,0.0,0.0028053754940629005,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-1c-32p,32,32,0.522987941545437,11,1.2088421506978548e-16,14.47654232068759,seconds,0.0,0.002807529643177986,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-1c-32p,32,32,0.5411944862931126,11,1.1867334459907863e-16,37.387394777738095,seconds,0.0,0.003386378288269043,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-1c-32p,32,32,0.5650877673743697,11,1.3891621431372665e-16,2.726922952873589,seconds,0.0,0.002786806784570217,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
