dataset,mu_size,nu_size,cost,iterations,error,cost_rerr,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
1D-gaussian-2c-32p,32,32,0.4021651223918278,11,1.605252030143354e-16,27.514497710510494,seconds,0.0,0.003116343170404434,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-2c-32p,32,32,0.3893498967123506,11,1.0437212869315401e-16,3.792611366550115,seconds,0.0,0.003215627744793892,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-2c-32p,32,32,0.5310713300882101,11,1.1626530349664903e-16,285.392323479406,seconds,0.0,0.0032154712826013565,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-2c-32p,32,32,0.4359630435673031,11,1.0805531124312037e-16,8.46341558510973,seconds,0.0,0.003084655851125717,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-2c-32p,32,32,0.5098950688955309,11,1.1858455995434198e-16,73.34464824932823,seconds,0.0,0.0030312929302453995,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-2c-32p,32,32,0.5410197174360709,11,1.182160275045642e-16,54.5368065743147,seconds,0.0,0.0035871565341949463,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-2c-32p,32,32,0.5187942917879429,11,1.0605958033783039e-16,28.22661222755639,seconds,0.0,0.002933299168944359,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-2c-32p,32,32,0.5560604059556271,11,1.4707345337585277e-16,11.67332502692051,seconds,0.0,0.0030044689774513245,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-2c-32p,32,32,0.429947708737403,11,1.1872404887167587e-16,6.399580201059053,seconds,0.0,0.0029352540150284767,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-2c-32p,32,32,0.5286579464508829,11,1.3073877870179422e-16,36.774438740682434,seconds,0.0,0.002946668304502964,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-2c-32p,32,32,0.5238065551666655,11,1.2417518519112547e-16,25.629339396132043,seconds,0.0,0.003199266269803047,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-2c-32p,32,32,0.48249499756446845,11,1.1491151892306092e-16,128.18021403466778,seconds,0.0,0.002926543354988098,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-2c-32p,32,32,0.6150173262187205,11,1.204602773728443e-16,1.4108365169577688,seconds,0.0,0.0028320932760834694,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-2c-32p,32,32,0.5256617397461146,11,1.1338246063119639e-16,4.207183399485398,seconds,0.0,0.002966763451695442,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-2c-32p,32,32,0.4321329585558005,11,1.3553064909677538e-16,35.674105196123776,seconds,0.0,0.002973809838294983,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-2c-32p,32,32,0.38224630058680464,11,1.325787313563968e-16,28.883175984064703,seconds,0.0,0.0028412984684109688,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-2c-32p,32,32,0.562526895050413,11,9.886402008701255e-17,315.1273560926946,seconds,0.0,0.002806449308991432,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
1D-gaussian-2c-32p,32,32,0.5326789404674424,11,1.0251026904199821e-16,45.47188515718493,seconds,0.0,0.002895522862672806,megabytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success,sinkhorn-normed,1.0,1000000
